Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654701303727,,,0,,
1654701303909,,0,,,
1654701304048,,,,0,
1654701304423,,,,76970,
1654701304446,,68808,,,
1654701304557,,,70683,,
1654701304763,,65211,,,
1654701304830,,,56588,,
1654701304831,,,,64333,
1654701305247,,,70911,,
1654701305570,,62579,,,
1654701305586,,,,62289,
1654701305597,,,50662,,
1654701305855,,37608,,,
1654701305988,,,,49121,
1654701305990,,63523,,,
1654701306060,,,46508,,
1654701306214,,,77406,,
1654701306234,,,,61975,
1654701306418,,,,90456,
1654701306537,,,74232,,
1654701306570,,72546,,,
1654701306646,,56493,,,
1654701306702,,,,61621,
1654701306808,,74024,,,
1654701306950,,,66813,,
1654701307015,,,,62452,
1654701307249,,56392,,,
1654701307440,,,51377,,
1654701307570,,,,49461,
1654701307717,,,75673,,
1654701307734,,,,97834,
1654701307747,,61670,,,
1654701307805,,44327,,,
1654701307876,,,36337,,
1654701307999,,,,39969,
1654701308272,,,56742,,
1654701308407,,54498,,,
1654701308445,,,,62443,
1654701308647,,,44496,,
1654701308827,,45023,,,
1654701308907,,,,41601,
1654701308968,,,50447,,
1654701309121,,,,63206,
1654701309164,,54541,,,
1654701309366,,83546,,,
1654701309433,,,,70571,
1654701309465,,,72284,,
1654701309604,,,72659,,
1654701309721,,,20076,,
1654701309762,,,,52620,
1654701309777,,,,13933,
1654701309791,,47680,,,
1654701310267,,53800,,,
1654701310471,,,,52764,
1654701310540,,,52451,,
1654701310631,,,,48670,
1654701310765,,46983,,,
1654701310833,,,39327,,
1654701311168,,,24287,,
1654701311386,,22325,,,
1654701311387,,,9400,,
1654701312021,,29855,,,
1654701312323,,,48364,,
1654701312373,,82943,,,
1654701312387,,,64437,,
1654701312389,,,,38601,
1654701312410,,,,51238,
1654701312425,,,37763,,
1654701312593,,25322,,,
1654701312968,,50544,,,
1654701313129,,,35437,,
1654701313313,,15031,,,
1654701313483,,,,30651,
1654701313524,,40459,,,
1654701313836,,,38417,,
1654701314234,,,,55141,
1654701314285,,53840,,,
1654701314303,,54647,,,
1654701314360,,,49854,,
1654701314383,,11962,,,
1654701314581,,,27063,,
1654701314734,,,,49520,
1654701314740,,,91113,,
1654701314857,,,49102,,
1654701314874,,,,49392,
1654701314952,,55630,,,
1654701315201,,81556,,,
1654701315299,,,,67741,
1654701315385,,,71123,,
1654701315450,,60180,,,
1654701315569,,,,92851,
1654701315643,,,101186,,
1654701315734,,139880,,,
1654701315781,,,,205773,
1654701315856,,361065,,,
1654701315860,,,304760,,
1654701315935,,,,378545,
1654701315960,,,337360,,
1654701316037,,234314,,,
1654701316074,,,,133870,
1654701316150,,,143726,,
1654701316462,,,,213408,
1654701316541,,211190,,,
1654701316573,,,200437,,
1654701316617,,,,134974,
1654701316750,,,174372,,
1654701316927,,,,202335,
1654701316982,,173011,,,
1654701317075,,,,195479,
1654701317112,,,216602,,
1654701317174,,318703,,,
1654701317182,,60000,,,
1654701317242,,,,312676,
1654701317303,,347388,,,
1654701317328,,,,463058,
1654701317392,,,391925,,
1654701317454,,,324725,,
1654701317598,,,,348144,
1654701317617,,346006,,,
1654701317717,,267330,,,
1654701317741,,,,237909,
1654701317953,,,196401,,
1654701318065,,,,127422,
1654701318230,,153801,,,
1654701318259,,,188830,,
1654701318270,,,,195917,
1654701318347,,178726,,,
1654701318393,,,149037,,
1654701318431,,,,163012,
1654701318575,,,,108145,
1654701318576,,,127054,,
1654701318584,,108417,,,
1654701318777,,,,193891,
1654701318813,,,,75027,
1654701319003,,,362480,,
1654701319115,,399629,,,
1654701319225,,,,531803,
1654701319267,,,513114,,
1654701319274,,543614,,,
1654701319325,,,,675040,
1654701319333,,,604328,,
1654701319489,,425668,,,
1654701319592,,,,448441,
1654701320010,,,466357,,
1654701320135,,526666,,,
1654701320224,,190438,,,
1654701320226,,,,472963,
1654701320231,,,487687,,
1654701320312,,,206914,,
1654701320350,,,,200298,
1654701320473,,297156,,,
1654701320594,,,,343172,
1654701321009,,,483659,,
1654701321193,,465786,,,
1654701321243,,,,486922,
1654701321284,,309155,,,
1654701321320,,,259115,,
1654701321323,,,,185637,
1654701321337,,,25941,,
1654701321485,,547577,,,
1654701321596,,,,449600,
1654701321986,,,692399,,
1654701322110,,600218,,,
1654701322227,,505153,,,
1654701322271,,,,623739,
1654701322288,,,331417,,
1654701322356,,,,226576,
1654701322397,,,241449,,
1654701322498,,252287,,,
1654701322611,,,,362639,
1654701323026,,,626724,,
1654701323110,,694381,,,
1654701323215,,,,755100,
1654701323220,,687900,,,
1654701323287,,,614442,,
1654701323369,,,,279512,
1654701323389,,,245862,,
1654701323467,,216894,,,
1654701323563,,,,211402,
1654701323981,,,862492,,
1654701324121,,943032,,,
1654701324173,,,,975296,
1654701324216,,184842,,,
1654701324246,,,522200,,
1654701324381,,,298102,,
1654701324402,,,,379275,
1654701324506,,578124,,,
1654701324614,,,,793882,
1654701325015,,,685390,,
1654701325151,,536262,,,
1654701325325,,420367,,,
1654701325332,,,,480969,
1654701325377,,,341035,,
1654701325397,,,,268738,
1654701325435,,,205206,,
1654701325665,,246268,,,
1654701325680,,,,235106,
1654701325997,,,487366,,
1654701326107,,639151,,,
1654701326188,,,,606710,
