Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654701303260,,,0,,
1654701303439,,0,,,
1654701303524,,,,0,
1654701303576,,,229,,
1654701303810,,229,,,
1654701303968,,,,231,
1654701304161,,0,,,
1654701304173,,,0,,
1654701304232,,,,0,
1654701304379,,232,,,
1654701304395,,,,232,
1654701304439,,,234,,
1654701304649,,232,,,
1654701304698,,,,232,
1654701304802,,,232,,
1654701304950,,,0,,
1654701305059,,0,,,
1654701305135,,,,0,
1654701305196,,,232,,
1654701305204,0,,,,,
1654701305386,65,,,,,
1654701305390,,232,,,
1654701305391,,,,232,
1654701305464,,,232,,
1654701305466,0,,,,
1654701305530,288,,,,
1654701305693,,232,,,
1654701305757,,,,232,
1654701305931,,232,,,
1654701306020,,,232,,
1654701306109,,,,232,
1654701306188,,,232,,
1654701306249,65,,,,,
1654701306401,,,,232,
1654701306461,,,232,,
1654701306483,288,,,,
1654701306500,,232,,,
1654701306628,,232,,,
1654701306630,,,,232,
1654701306785,,232,,,
1654701306805,,,232,,
1654701306915,,,,232,
1654701307197,,232,,,
1654701307361,67,,,,,
1654701307406,,,232,,
1654701307460,,,,232,
1654701307480,288,,,,
1654701307634,,232,,,
1654701307662,,,,232,
1654701307667,,,232,,
1654701307713,,232,,,
1654701307741,,,232,,
1654701307822,,,,232,
1654701308226,,,232,,
1654701308346,,,,232,
1654701308391,,232,,,
1654701308489,288,,,,
1654701308521,,,232,,
1654701308660,65,,,,,
1654701308735,,,,232,
1654701308766,,232,,,
1654701308909,,,232,,
1654701309073,,232,,,
1654701309096,,,,232,
1654701309221,65,,,,,
1654701309336,,,,232,
1654701309340,,232,,,
1654701309357,,,232,,
1654701309451,,,232,,
1654701309492,288,,,,
1654701309582,,,,232,
1654701309587,,,,232,
1654701309650,,,232,,
1654701309772,,232,,,
1654701310140,,232,,,
1654701310346,,,232,,
1654701310347,,,,232,
1654701310413,65,,,,,
1654701310485,288,,,,
1654701310517,,232,,,
1654701310608,,,,232,
1654701310716,,,232,,
1654701310782,,232,,,
1654701310969,,,232,,
1654701311153,,,232,,
1654701311247,65,,,,,
1654701311501,288,,,,
1654701311960,,232,,,
1654701312200,,,232,,
1654701312218,65,,,,,
1654701312248,,232,,,
1654701312287,,,,232,
1654701312289,,,232,,
1654701312345,,,234,,
1654701312349,,234,,,
1654701312350,,,,235,
1654701312668,,232,,,
1654701312740,288,,,,
1654701312868,,,,232,
1654701312924,,,232,,
1654701313083,,232,,,
1654701313207,65,,,,,
1654701313454,,232,,,
1654701313479,288,,,,
1654701313651,,,232,,
1654701313929,,,,232,
1654701314000,,232,,,
1654701314139,,232,,,
1654701314213,65,,,,,
1654701314251,,,232,,
1654701314295,,232,,,
1654701314409,,,232,,
1654701314483,288,,,,
1654701314525,,,232,,
1654701314631,,,,232,
1654701314689,,,,232,
1654701314807,,,232,,
1654701314887,,232,,,
1654701315135,,232,,,
1654701315151,,,,232,
1654701315212,65,,,,,
1654701315316,,,232,,
1654701315389,,232,,,
1654701315472,292,,,,
1654701315530,,,,233,
1654701315542,,,232,,
1654701315704,,233,,,
1654701315734,,,,232,
1654701315770,,,232,,
1654701315837,,232,,,
1654701315869,,,,232,
1654701315879,,,232,,
1654701315976,,232,,,
1654701315988,,,,232,
1654701316088,,,232,,
1654701316209,65,,,,,
1654701316438,,,,232,
1654701316463,,,232,,
1654701316469,292,,,,
1654701316524,,232,,,
1654701316574,,,,232,
1654701316729,,,232,,
1654701316907,,,,232,
1654701316931,,232,,,
1654701317049,,,,232,
1654701317053,,232,,,
1654701317083,,,232,,
1654701317131,,232,,,
1654701317172,,,,232,
1654701317207,65,,,,,
1654701317237,,232,,232,
1654701317349,,,232,,
1654701317394,,,232,,
1654701317470,292,,,,
1654701317551,,232,,,
1654701317569,,,,232,
1654701317689,,232,,,
1654701317690,,,,232,
1654701317893,,,232,,
1654701318008,,,,232,
1654701318167,,,232,232,
1654701318168,,232,,,
1654701318210,65,,,,,
1654701318302,,232,,,
1654701318369,,,232,,
1654701318398,,,,232,
1654701318479,292,,,,
1654701318512,,,232,,
1654701318536,,232,,232,
1654701318755,,,,232,
1654701318786,,,,232,
1654701318978,,,232,,
1654701319087,,232,,,
1654701319201,,,,232,
1654701319213,65,,,,,
1654701319246,,,232,,
1654701319248,,232,,,
1654701319292,,,,232,
1654701319316,,,232,,
1654701319458,,232,,,
1654701319469,292,,,,
1654701319542,,,,232,
1654701319987,,,232,,
1654701320100,,232,,,
1654701320200,,232,,232,
1654701320207,,,232,,
1654701320212,65,,,,,
1654701320271,,,232,,
1654701320317,,,,232,
1654701320451,,232,,,
1654701320489,292,,,,
1654701320573,,,,232,
1654701320971,,,232,,
1654701321167,,232,,,
1654701321209,65,,,,,
1654701321221,,,,232,
1654701321248,,,232,,
1654701321255,,232,,,
1654701321289,,,,232,
1654701321306,,,232,,
1654701321455,,232,,,
1654701321503,292,,,,
1654701321559,,,,232,
1654701321968,,,232,,
1654701322092,,232,,,
1654701322183,,,,232,
1654701322207,65,,232,,,
1654701322263,,,232,,
1654701322326,,,,232,
1654701322374,,,232,,
1654701322467,,232,,,
1654701322469,292,,,,
1654701322584,,,,232,
1654701322980,,,232,,
1654701323088,,232,,,
1654701323175,,,,232,
1654701323182,,232,,,
1654701323218,65,,,,,
1654701323236,,,232,,
1654701323338,,,,232,
1654701323339,,,232,,
1654701323447,,232,,,
1654701323482,292,,,,
1654701323533,,,,232,
1654701323964,,,232,,
1654701324087,,232,,,
1654701324156,,,,232,
1654701324192,,,233,,
1654701324193,,233,,,
1654701324224,65,,,,,
1654701324366,,,232,,
1654701324378,,,,232,
1654701324462,,232,,,
1654701324469,292,,,,
1654701324565,,,,232,
1654701324961,,,232,,
1654701325116,,232,,,
1654701325207,65,,,,,
1654701325255,,232,,,
1654701325277,,,,232,
1654701325306,,,232,,
1654701325334,,,,232,
1654701325389,,,232,,
1654701325482,292,,,,
1654701325610,,,,233,
1654701325617,,233,,,
1654701325977,,,232,,
1654701326070,,232,,,
1654701326157,,,,232,
1654701326238,,232,,,
1654701326251,65,,,,,
1654701326252,,,232,,
1654701326339,,,,232,
1654701326395,,,232,,
1654701326471,292,,,,
1654701326575,,232,,,
1654701326658,,,,232,
1654701327053,,,232,,
1654701327120,,232,,,
1654701327208,65,,,,,
