Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654701303723,,,110280,,
1654701303881,,122400,,,
1654701304046,,,,118864,
1654701304419,,,,119188,
1654701304442,,122756,,,
1654701304492,,,,119216,
1654701304500,,122844,,,
1654701304556,,,113388,,
1654701304730,,,113552,,
1654701304762,,122916,,,
1654701304828,,,113608,,
1654701304830,,,,119296,
1654701304876,,122920,,,
1654701304905,,,,119428,
1654701304909,,,113620,,
1654701305246,,,115868,,
1654701305307,,,115964,,
1654701305393,,,115972,,
1654701305445,158604,,,,,
1654701305516,,,,121968,
1654701305568,,125240,,,
1654701305595,,,116048,,
1654701305642,,125276,,,
1654701305683,,,116120,,
1654701305717,,,,121988,
1654701305848,,125300,,,
1654701305869,,125308,,,
1654701305885,,,116136,,
1654701305909,,,,122016,
1654701305926,,125308,,,
1654701305962,219144,,,,
1654701305980,,125368,,,
1654701305986,,,,122068,
1654701306019,,125424,,,
1654701306034,,,,122084,
1654701306058,,,116216,,
1654701306161,,,116280,,
1654701306213,,,116328,,
1654701306216,,125428,,122212,
1654701306266,168208,,,,,
1654701306268,,,116328,,
1654701306286,,,,122236,
1654701306304,,,116344,,
1654701306343,,,,122248,
1654701306417,,,,122312,
1654701306460,,,,122312,
1654701306536,,,116672,,
1654701306551,,,,122396,
1654701306554,219372,,,,
1654701306568,,127740,,,
1654701306645,,127764,,,
1654701306661,,,118724,,
1654701306691,,,,122416,
1654701306703,,,118796,,
1654701306705,,127788,,,
1654701306720,,127788,,,
1654701306737,,,,123128,
1654701306754,,127788,,,
1654701306799,,127788,,,
1654701306806,,127832,,,
1654701306846,,127832,,,
1654701306946,,,120160,,
1654701307013,,,,128496,
1654701307054,,,,129064,
1654701307085,,,,129064,
1654701307086,,,120168,,
1654701307248,,127980,,,
1654701307294,,127980,,,
1654701307402,,127984,,,
1654701307439,,,122332,,
1654701307568,,,,130748,
1654701307631,,,122628,,
1654701307633,219388,,,,
1654701307661,,,,130756,
1654701307681,,,123648,,
1654701307715,,,123648,,
1654701307718,,,,130824,
1654701307732,,,,130824,
1654701307733,178744,,,,,
1654701307746,,128084,,,
1654701307803,,128084,,,
1654701307810,,,124224,,
1654701307817,,128100,,,
1654701307862,,,124236,,
1654701307875,,,124240,,
1654701307882,,128100,,,
1654701307925,,,,130836,
1654701307929,,,124240,,
1654701307938,,128104,,,
1654701307998,,,,130836,
1654701308062,,,,130884,
1654701308090,,,,130884,
1654701308271,,,124484,,
1654701308304,,,124484,,
1654701308335,,,124484,,
1654701308406,,128188,,,
1654701308444,,,,126368,
1654701308519,,,,126412,
1654701308525,219424,,,,
1654701308527,,128228,,,
1654701308646,,,124488,,
1654701308648,,128228,,,
1654701308698,,,,126428,
1654701308793,,,124560,,
1654701308795,,,,126448,
1654701308826,,128280,,,
1654701308879,,128288,,,
1654701308919,,,124580,,
1654701308929,182620,,,,,
1654701308936,,128288,,,
1654701308958,,,124596,,
1654701309001,,,124600,126504,
1654701309119,,,,126520,
1654701309162,,128304,,,
1654701309190,,,,126524,
1654701309246,,,,126524,
1654701309257,,130332,,,
1654701309356,182872,,,,,
1654701309365,,130860,,,
1654701309426,,,,126592,
1654701309454,,,124688,,
1654701309505,,,,126592,
1654701309507,,,124688,,
1654701309542,219472,,,,
1654701309602,,,124692,,
1654701309612,,,,126604,
1654701309617,,131684,,,
1654701309641,,131696,,,
1654701309647,,,124728,,
1654701309653,,,124728,,
1654701309699,,,124748,,
1654701309727,,,124748,,
1654701309761,,,,126612,
1654701309776,,,,126608,
1654701309790,,131820,,,
1654701309880,,,124768,,
1654701309933,,,,126620,
1654701310006,,131820,,,
1654701310016,,,,126636,
1654701310025,,,,126636,
1654701310088,,133140,,,
1654701310266,,133700,,,
1654701310325,,133700,,,
1654701310469,,,,129596,
1654701310539,,,124820,,
1654701310584,,,,129604,
1654701310630,191112,,,,129604,
1654701310690,,,124824,,
1654701310762,,,124824,,
1654701310764,,133764,,,
1654701310831,,133764,,,
1654701310832,,,124824,,
1654701310979,221872,,,,
1654701311065,,133776,,,
1654701311072,,,125132,,
1654701311140,,,125140,,
1654701311166,,133776,,,
1654701311167,,,125140,,
1654701311208,,,,129604,
1654701311310,,,,129604,
1654701311316,190384,,,,,
1654701311324,,,125140,,
1654701311385,,,125152,,
1654701311425,,,125152,,
1654701311575,,140960,,,
1654701311649,,,125204,,
1654701311650,,,,129604,
1654701311697,234304,,,,
1654701311762,,143072,,,
1654701312020,,145560,,,
1654701312059,,145560,,,
1654701312322,,,128716,,
1654701312372,,151708,,,
1654701312385,,,128652,,
1654701312388,,,,143112,
1654701312406,,,128668,,
1654701312409,,,,145252,
1654701312424,,,128668,,
1654701312469,191764,,,,,
1654701312481,,151708,,,
1654701312492,,151760,,,
1654701312531,,,130740,130740,,
1654701312609,,153812,,,
1654701312653,,,130744,,
1654701312833,,,,147316,147316,
1654701312872,236444,,,,
1654701312875,,,132344,,
1654701312966,,158064,,,
1654701313027,,153884,,,
1654701313047,,153888,,,
1654701313127,,,135248,,
1654701313147,,153896,,,
1654701313153,,156112,,,
1654701313282,194964,,,,,
1654701313375,,162212,,,
1654701313415,,,136912,,
1654701313417,,163032,,,
1654701313482,,,,151996,
1654701313489,,,,151948,
1654701313523,,163036,,,
1654701313542,,163036,,,
1654701313574,239140,,,,
1654701313642,,,,158040,
1654701313768,,,,158040,
1654701313806,,,143888,,
1654701314008,,,148928,,
1654701314131,,,149220,,
1654701314232,,,,160252,
1654701314284,,169320,,,
1654701314301,,171376,,,
1654701314359,,,151468,,
1654701314380,,171904,,,
1654701314408,,,151488,,
1654701314438,,175692,,,
1654701314495,,,151584,,
1654701314547,187600,,,,,
1654701314551,,175708,,,
1654701314579,,175708,151584,,
1654701314653,,,,162312,
1654701314654,,,151604,,
1654701314708,,179076,,,
1654701314724,241160,,,,
1654701314733,,,,162308,
1654701314739,,,151612,,
1654701314765,,,151620,,
1654701314811,,179076,,,
1654701314838,,,151632,,
1654701314855,,,151632,,
1654701314873,,,,164588,
1654701314917,,,151644,,
1654701314936,,,,164356,
1654701314950,,180160,,,
1654701314971,,,,167060,
1654701315026,,,151920,,
1654701315031,,,,166736,
1654701315045,,186236,,,
