Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654701712005,,,,0,
1654701712291,,,,1.1005772203821721E-4,
1654701712469,,0,,,
1654701712814,,1.1300631489125505E-4,,,
1654701713106,,,0,,
1654701713118,,,,0.007003654080389768,
1654701713608,,,1.1295847165246987E-4,,
1654701713639,,0.0,,,
1654701713734,,,0,,
1654701713750,,,,0,
1654701713782,,0,,,
1654701713886,,0.0,,,
1654701713918,,,0.0,,
1654701714066,,,,0.0,
1654701714452,,,,0.0,
1654701714723,,,,0,
1654701714788,,,0,,
1654701714927,,0.0,,,
1654701714957,,,,0.0,
1654701714973,,,0.0,,
1654701715034,,,0.0,,
1654701715172,,,,0.0,
1654701715266,,0.0,,,
1654701715448,,,0.0,,
1654701715612,,0,,,
1654701715883,,0.0,,,
1654701715893,0,,,,,
1654701716010,,,,0.0,
1654701716047,4.322828859205464E-5,,,,,
1654701716049,0,,,,
1654701716176,,0.0,,,
1654701716223,,,0.0,,
1654701716312,,,,0.0,
1654701716419,0.00999388519452725,,,,
1654701716437,,0.0,,,
1654701716458,,,0.0,,
1654701716539,,,,0.0,
1654701716771,,,,0.0,
1654701716791,,,0.0,,
1654701716946,0.026726057906458798,,,,,
1654701717016,,0.0,,,
1654701717041,,,,0.0,
1654701717067,0.0,,,,
1654701717089,,,0.0,,
1654701717200,,,,0.0,
1654701717286,,,0.0,,
1654701717506,,0.0,,,
1654701717547,,,0.0,,
1654701717594,,,,0.0,
1654701717663,,0.0,,,
1654701717947,,,0.0,,
1654701717966,,,,0.0,
1654701718065,0.0,,,,
1654701718091,,,0.0,,
1654701718151,,0.0,,,
1654701718167,,,,0.0,
1654701718170,0.0,,,,,
1654701718300,,,0.0,,
1654701718364,,0.0,,,
1654701718373,,,,0.0,
1654701718643,,0.0,,,
1654701718709,,,0.0,,
1654701718941,,0.0,,,
1654701719005,0.0,,,,,
1654701719007,,,0.0,,
1654701719014,,,,0.0,
1654701719068,0.0,,,,
1654701719129,,,,0.0,
1654701719187,,0.0,,,
1654701719385,,,0.0,,
1654701719388,,0.0,,,
1654701719496,,,,0.0,
1654701719675,,,0.0,,
1654701719904,,,,0.0,
1654701719912,0.0,,,,,
1654701720034,,,0.0,,
1654701720060,0.0,,,,
1654701720362,,0.0,,,
1654701720438,,,,0.0,
1654701720626,,,0.0,,
1654701720718,,,,0.0,
1654701720739,,0.0,,,
1654701720945,,0.0,,,
1654701721074,,,0.0,,
1654701721132,0.0,,,,
1654701721205,0.0,,,,,
1654701721277,,,0.0,,
1654701721373,,,,0.0,
1654701721415,,0.0,,,
1654701721455,,,,0.0,
1654701721651,,,,0.0,
1654701721690,,0.0,,,
1654701722050,0.0,,,,,
1654701722053,0.0,,,,
1654701722059,,0.0,,,
1654701722060,,,0.0,,
1654701722302,,,0.0,,
1654701722374,,,,0.0,
1654701722563,,,0.0,,
