Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702038963,,,0,,
1654702038967,,0,,,
1654702039076,,72,,,
1654702039092,,,,0,
1654702039262,,,,72,
1654702039271,,,72,,
1654702039421,,,0,,
1654702039450,,0,,,
1654702039495,,,73,,
1654702039601,,73,,,
1654702039627,,,,0,
1654702039662,,,,73,
1654702039913,,0,,,
1654702039914,,,,0,
1654702039916,,,0,,
1654702039930,,,,74,
1654702039944,,,74,,
1654702039980,,74,,,
1654702039985,,,75,,
1654702039996,,75,,,
1654702040054,0,,,,,
1654702040119,0,,,75,
1654702040126,72,,,,,
1654702040221,12,,,,
1654702040443,,,76,,
1654702040467,,76,,,
1654702040675,,,,76,
1654702040921,,,,76,
1654702040948,,,76,,
1654702040951,,76,,,
1654702040972,,,76,,
1654702041013,,76,,,
1654702041060,28,,,,,
1654702041122,13,,,,
1654702041157,,,,45,
1654702041483,,,45,,
1654702041524,,45,,,
1654702041948,,,,45,
1654702042065,34,,,,,
1654702042073,,,,45,
1654702042083,,,45,,
1654702042126,20,,,,
1654702042176,,,,45,
1654702042365,,,45,,
1654702042438,,46,,,
1654702042552,,46,,,
1654702042678,,,46,,
1654702042782,,46,,,
1654702043054,34,,,,,
1654702043120,30,,,,
1654702043218,,,,47,
1654702043265,,,47,,
1654702043339,,,47,,
1654702043420,,,,48,
1654702043556,,,,48,
1654702043582,,,48,,
1654702043602,,48,,,
1654702043720,,48,,,
1654702043808,,49,,,
1654702043849,,,,49,
1654702044004,,,49,,
1654702044054,35,,,,,
1654702044056,,,49,,
1654702044093,,50,,,
1654702044126,14,,,,
1654702044171,,,,50,
1654702044273,,,,50,
1654702044408,,50,,,
1654702044470,,,51,,
1654702044473,,51,,,
1654702044639,,,,51,
1654702044945,,,,52,
1654702044949,,,52,,
1654702044972,,52,,,
1654702044984,,,52,,
1654702045000,,52,,,
1654702045055,35,,,,,
1654702045126,,,,53,
1654702045128,16,,,,
1654702045427,,,53,,
1654702045500,,53,,,
1654702045641,,,,54,
1654702045936,,,,54,
1654702045956,,,54,,
1654702045984,,,54,,
1654702045987,,54,,,
1654702045993,,54,,,
1654702046057,35,,,,,
1654702046123,18,,,,
1654702046142,,,,55,
1654702046436,,,56,,
1654702046463,,56,,,
1654702046640,,,,56,
1654702046920,,57,,,
1654702046923,,,,57,
1654702046926,,,57,,
1654702046986,,58,,,
1654702046987,,,58,,
1654702047055,35,,,,,
1654702047106,,,,58,
1654702047121,24,,,,
1654702047431,,,59,,
1654702047459,,59,,,
1654702047633,,,,60,
1654702047931,,,60,,
1654702047934,,,,60,
1654702047971,,60,,,
1654702047975,,,60,,
1654702047981,,61,,,
1654702048058,35,,,,,
1654702048116,,,,61,
1654702048123,29,,,,
1654702048429,,,62,,
1654702048457,,62,,,
1654702048637,,,,63,
1654702048937,,,,63,
1654702048940,,,63,,
1654702049002,,64,,,
1654702049003,,,64,,
1654702049037,,64,,,
1654702049056,35,,,,,
1654702049109,,,,64,
1654702049145,34,,,,
1654702049441,,,65,,
1654702049466,,65,,,
1654702049652,,,,65,
1654702049924,,,,66,
1654702049926,,,66,,
1654702049928,,66,,,
1654702049977,,,67,,
1654702049979,,67,,,
1654702050055,35,,,,,
1654702050122,17,,,,
1654702050130,,,,67,
1654702050432,,,68,,
1654702050487,,68,,,
1654702050634,,,,68,
1654702050932,,69,,69,
1654702050937,,,69,,
1654702050977,,69,,,
1654702050984,,,69,,
1654702051054,35,,,,,
1654702051116,,,,70,
1654702051123,21,,,,
1654702051429,,,71,,
1654702051458,,71,,,
1654702051632,,,,46,
1654702051928,,,37,,
1654702051930,,,,37,
1654702051932,,37,,,
1654702051988,,37,,,
1654702052007,,,37,,
1654702052055,35,,,,,
1654702052120,,,,37,
1654702052121,27,,,,
1654702052458,,,37,,
1654702052468,,37,,,
1654702052664,,,,39,
1654702052941,,,39,,
