Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702039459,,0,,,
1654702039560,,,,0,
1654702039640,,,0,,
1654702039706,,97862,,,
1654702039714,,,134733,,
1654702039826,,,,116981,
1654702040094,,,,127388,
1654702040161,,,117769,,
1654702040340,,102831,,,
1654702040347,,,67048,,
1654702040419,,,,81341,
1654702040480,,71321,,,
1654702040799,,,49880,,
1654702040804,,39092,,,
1654702040832,,,,39949,
1654702041164,,78110,,,
1654702041176,,,,80872,
1654702041239,,,76790,,
1654702041297,,,78017,,
1654702041305,,,,78992,
1654702041388,,63668,,,
1654702042126,,31452,,,
1654702042193,,,33337,,
1654702042707,,,,37462,
1654702042793,,43926,,,
1654702042874,,,47478,,
1654702043001,,,48761,,
1654702043057,,,,47822,
1654702043072,,48577,,,
1654702043130,,,,46520,
1654702043330,,,49364,,
1654702043374,,59278,,,
1654702043505,,,91420,,
1654702043607,,,,81322,
1654702043704,,,186603,,
1654702043795,,,,265250,
1654702043807,,179368,,,
1654702043856,,,253907,,
1654702043890,,,,231684,
1654702044097,,267713,,,
1654702044186,,,,237664,
1654702044214,,102413,226431,,
1654702044390,,177237,,,
1654702044411,,,180873,,
1654702044465,,,,205350,
1654702044517,,264277,,,
1654702044566,,,,402396,
1654702044705,,,433602,,
1654702044742,,582203,,,
1654702044772,,,,517063,
1654702045110,,,,483281,
1654702045128,,,479888,,
1654702045164,,416736,,,
1654702045255,,,182834,,
1654702045293,,236023,,,
1654702045326,,,,194231,
1654702045692,,,386581,,
1654702045710,,399942,,,
1654702045827,,,,390037,
1654702046095,,387166,,,
1654702046113,,,403876,,
1654702046141,,,,440006,
1654702046240,,,461385,,
1654702046288,,372730,,,
1654702046301,,,,306575,
1654702046673,,,810378,,
1654702046703,,871139,,,
1654702046766,,,,960886,
1654702047012,,,1069976,,
1654702047059,,1058546,,,
1654702047096,,,,936663,
1654702047233,,,746262,,
1654702047264,,,,809464,
1654702047283,,702299,,,
1654702047696,,,840423,,
1654702047734,,842871,,,
1654702047789,,,,804490,
1654702048024,,,599847,,
1654702048048,,623073,,,
1654702048102,,,,549019,
1654702048243,,,771374,,
1654702048249,,786756,,,
1654702048277,,,,973622,
1654702048708,,,1051655,,
1654702048719,,1053565,,,
1654702048815,,,,960907,
1654702049185,,,,554686,
1654702049207,,,519090,,
1654702049277,,,503971,,
1654702049279,,516810,,,
1654702049318,,8250,,,
1654702049348,,,,226701,
1654702049686,,,609921,,
1654702049721,,645559,,,
1654702049776,,,,764826,
1654702050016,,,1144857,,
1654702050112,,1028253,,,
1654702050131,,,,943005,
1654702050270,,359702,,,
1654702050272,,,358109,,
1654702050301,,,,388882,
1654702050725,,,603218,,
1654702050752,,580962,,,
1654702050802,,,,571355,
1654702051036,,,757871,,
1654702051103,,,,812754,
1654702051127,,739305,,,
1654702051233,,,698406,,
1654702051269,,,,719048,
1654702051302,,626988,,,
1654702051692,,,1176496,,
1654702051698,,1314427,,,
1654702051791,,,,1135996,
1654702052161,,,,591927,
1654702052195,,586345,,,
1654702052247,,,556693,,
1654702052336,,,221168,,
1654702052358,,262631,,,
1654702052478,,,,269208,
1654702052698,,,702294,,
1654702052789,,614860,,,
1654702052844,,,,648833,
1654702053079,,,240223,,
1654702053155,,,,273054,
1654702053243,,242953,,,
1654702053311,,,401771,,
1654702053335,,,,416938,
1654702053350,,558962,,,
1654702053712,,,453882,,
1654702053822,,,,421073,
1654702053834,,432103,,,
1654702054210,,,,331920,
1654702054211,,,307717,,
1654702054282,,316756,,,
1654702054300,,,485842,,
1654702054337,,665527,,,
1654702054358,,,,375141,
1654702054725,,,834604,,
1654702054733,,867295,,,
1654702054838,,,,769365,
1654702055120,,,411425,,
1654702055141,,,,485623,
