PING 10.74.178.112 (10.74.178.112) 56(84) bytes of data.
64 bytes from 10.74.178.112: icmp_seq=1 ttl=64 time=0.621 ms
64 bytes from 10.74.178.112: icmp_seq=2 ttl=64 time=0.532 ms
64 bytes from 10.74.178.112: icmp_seq=3 ttl=64 time=1.52 ms
64 bytes from 10.74.178.112: icmp_seq=4 ttl=64 time=3.90 ms
64 bytes from 10.74.178.112: icmp_seq=5 ttl=64 time=0.840 ms
64 bytes from 10.74.178.112: icmp_seq=6 ttl=64 time=0.584 ms
64 bytes from 10.74.178.112: icmp_seq=7 ttl=64 time=0.537 ms
64 bytes from 10.74.178.112: icmp_seq=8 ttl=64 time=2.13 ms
64 bytes from 10.74.178.112: icmp_seq=9 ttl=64 time=1.82 ms
64 bytes from 10.74.178.112: icmp_seq=10 ttl=64 time=0.460 ms
64 bytes from 10.74.178.112: icmp_seq=11 ttl=64 time=0.571 ms
64 bytes from 10.74.178.112: icmp_seq=12 ttl=64 time=0.580 ms
64 bytes from 10.74.178.112: icmp_seq=13 ttl=64 time=0.538 ms
64 bytes from 10.74.178.112: icmp_seq=14 ttl=64 time=0.526 ms
64 bytes from 10.74.178.112: icmp_seq=15 ttl=64 time=0.587 ms
64 bytes from 10.74.178.112: icmp_seq=16 ttl=64 time=0.443 ms
64 bytes from 10.74.178.112: icmp_seq=17 ttl=64 time=0.406 ms
64 bytes from 10.74.178.112: icmp_seq=18 ttl=64 time=0.955 ms
64 bytes from 10.74.178.112: icmp_seq=19 ttl=64 time=0.480 ms
64 bytes from 10.74.178.112: icmp_seq=20 ttl=64 time=0.490 ms
64 bytes from 10.74.178.112: icmp_seq=21 ttl=64 time=0.479 ms
64 bytes from 10.74.178.112: icmp_seq=22 ttl=64 time=0.501 ms
64 bytes from 10.74.178.112: icmp_seq=23 ttl=64 time=1.89 ms
64 bytes from 10.74.178.112: icmp_seq=24 ttl=64 time=0.558 ms
64 bytes from 10.74.178.112: icmp_seq=25 ttl=64 time=0.770 ms
64 bytes from 10.74.178.112: icmp_seq=26 ttl=64 time=0.540 ms
64 bytes from 10.74.178.112: icmp_seq=27 ttl=64 time=0.658 ms
64 bytes from 10.74.178.112: icmp_seq=28 ttl=64 time=0.441 ms
64 bytes from 10.74.178.112: icmp_seq=29 ttl=64 time=0.460 ms
64 bytes from 10.74.178.112: icmp_seq=30 ttl=64 time=0.486 ms
64 bytes from 10.74.178.112: icmp_seq=31 ttl=64 time=0.616 ms
64 bytes from 10.74.178.112: icmp_seq=32 ttl=64 time=1.23 ms
64 bytes from 10.74.178.112: icmp_seq=33 ttl=64 time=7.94 ms
64 bytes from 10.74.178.112: icmp_seq=34 ttl=64 time=12.3 ms
64 bytes from 10.74.178.112: icmp_seq=35 ttl=64 time=4.01 ms
64 bytes from 10.74.178.112: icmp_seq=36 ttl=64 time=7.96 ms
64 bytes from 10.74.178.112: icmp_seq=37 ttl=64 time=17.6 ms
64 bytes from 10.74.178.112: icmp_seq=38 ttl=64 time=1.64 ms
64 bytes from 10.74.178.112: icmp_seq=39 ttl=64 time=21.6 ms
64 bytes from 10.74.178.112: icmp_seq=40 ttl=64 time=15.6 ms
64 bytes from 10.74.178.112: icmp_seq=41 ttl=64 time=2.14 ms
64 bytes from 10.74.178.112: icmp_seq=42 ttl=64 time=21.6 ms
64 bytes from 10.74.178.112: icmp_seq=43 ttl=64 time=0.401 ms
64 bytes from 10.74.178.112: icmp_seq=44 ttl=64 time=0.690 ms
64 bytes from 10.74.178.112: icmp_seq=45 ttl=64 time=9.31 ms
64 bytes from 10.74.178.112: icmp_seq=46 ttl=64 time=0.478 ms
64 bytes from 10.74.178.112: icmp_seq=47 ttl=64 time=10.2 ms
64 bytes from 10.74.178.112: icmp_seq=48 ttl=64 time=0.472 ms
64 bytes from 10.74.178.112: icmp_seq=49 ttl=64 time=0.755 ms
64 bytes from 10.74.178.112: icmp_seq=50 ttl=64 time=1.11 ms
64 bytes from 10.74.178.112: icmp_seq=51 ttl=64 time=0.796 ms
64 bytes from 10.74.178.112: icmp_seq=52 ttl=64 time=0.628 ms
64 bytes from 10.74.178.112: icmp_seq=53 ttl=64 time=6.40 ms
64 bytes from 10.74.178.112: icmp_seq=54 ttl=64 time=17.7 ms
64 bytes from 10.74.178.112: icmp_seq=55 ttl=64 time=6.54 ms
64 bytes from 10.74.178.112: icmp_seq=56 ttl=64 time=2.17 ms
64 bytes from 10.74.178.112: icmp_seq=57 ttl=64 time=0.337 ms
64 bytes from 10.74.178.112: icmp_seq=58 ttl=64 time=4.89 ms
64 bytes from 10.74.178.112: icmp_seq=59 ttl=64 time=9.66 ms
64 bytes from 10.74.178.112: icmp_seq=60 ttl=64 time=13.0 ms
64 bytes from 10.74.178.112: icmp_seq=61 ttl=64 time=7.32 ms
64 bytes from 10.74.178.112: icmp_seq=62 ttl=64 time=1.68 ms
64 bytes from 10.74.178.112: icmp_seq=63 ttl=64 time=1.19 ms
64 bytes from 10.74.178.112: icmp_seq=64 ttl=64 time=0.840 ms
64 bytes from 10.74.178.112: icmp_seq=65 ttl=64 time=0.809 ms
64 bytes from 10.74.178.112: icmp_seq=66 ttl=64 time=0.843 ms
64 bytes from 10.74.178.112: icmp_seq=67 ttl=64 time=7.73 ms
64 bytes from 10.74.178.112: icmp_seq=68 ttl=64 time=1.83 ms
64 bytes from 10.74.178.112: icmp_seq=69 ttl=64 time=0.330 ms
64 bytes from 10.74.178.112: icmp_seq=70 ttl=64 time=6.01 ms
64 bytes from 10.74.178.112: icmp_seq=71 ttl=64 time=5.04 ms
64 bytes from 10.74.178.112: icmp_seq=72 ttl=64 time=1.47 ms
64 bytes from 10.74.178.112: icmp_seq=73 ttl=64 time=1.70 ms
64 bytes from 10.74.178.112: icmp_seq=74 ttl=64 time=5.19 ms
64 bytes from 10.74.178.112: icmp_seq=75 ttl=64 time=1.40 ms
64 bytes from 10.74.178.112: icmp_seq=76 ttl=64 time=9.07 ms
64 bytes from 10.74.178.112: icmp_seq=77 ttl=64 time=2.17 ms
64 bytes from 10.74.178.112: icmp_seq=78 ttl=64 time=0.709 ms
64 bytes from 10.74.178.112: icmp_seq=79 ttl=64 time=3.38 ms
64 bytes from 10.74.178.112: icmp_seq=80 ttl=64 time=1.50 ms
64 bytes from 10.74.178.112: icmp_seq=81 ttl=64 time=2.29 ms
64 bytes from 10.74.178.112: icmp_seq=82 ttl=64 time=0.764 ms
64 bytes from 10.74.178.112: icmp_seq=83 ttl=64 time=12.1 ms
64 bytes from 10.74.178.112: icmp_seq=84 ttl=64 time=15.1 ms
64 bytes from 10.74.178.112: icmp_seq=85 ttl=64 time=9.41 ms
64 bytes from 10.74.178.112: icmp_seq=86 ttl=64 time=0.551 ms
64 bytes from 10.74.178.112: icmp_seq=87 ttl=64 time=1.68 ms
64 bytes from 10.74.178.112: icmp_seq=88 ttl=64 time=0.387 ms
64 bytes from 10.74.178.112: icmp_seq=89 ttl=64 time=1.97 ms
64 bytes from 10.74.178.112: icmp_seq=90 ttl=64 time=0.740 ms
64 bytes from 10.74.178.112: icmp_seq=91 ttl=64 time=1.78 ms
64 bytes from 10.74.178.112: icmp_seq=92 ttl=64 time=0.575 ms
64 bytes from 10.74.178.112: icmp_seq=93 ttl=64 time=1.03 ms
64 bytes from 10.74.178.112: icmp_seq=94 ttl=64 time=0.453 ms
64 bytes from 10.74.178.112: icmp_seq=95 ttl=64 time=0.548 ms
64 bytes from 10.74.178.112: icmp_seq=96 ttl=64 time=0.420 ms
64 bytes from 10.74.178.112: icmp_seq=97 ttl=64 time=0.421 ms
64 bytes from 10.74.178.112: icmp_seq=98 ttl=64 time=0.880 ms
64 bytes from 10.74.178.112: icmp_seq=99 ttl=64 time=0.458 ms
64 bytes from 10.74.178.112: icmp_seq=100 ttl=64 time=19.6 ms
64 bytes from 10.74.178.112: icmp_seq=101 ttl=64 time=4.88 ms
64 bytes from 10.74.178.112: icmp_seq=102 ttl=64 time=2.12 ms
64 bytes from 10.74.178.112: icmp_seq=103 ttl=64 time=13.6 ms
64 bytes from 10.74.178.112: icmp_seq=104 ttl=64 time=7.53 ms
64 bytes from 10.74.178.112: icmp_seq=105 ttl=64 time=0.391 ms
64 bytes from 10.74.178.112: icmp_seq=106 ttl=64 time=0.504 ms
64 bytes from 10.74.178.112: icmp_seq=107 ttl=64 time=0.480 ms
64 bytes from 10.74.178.112: icmp_seq=108 ttl=64 time=0.479 ms
64 bytes from 10.74.178.112: icmp_seq=109 ttl=64 time=0.603 ms
64 bytes from 10.74.178.112: icmp_seq=110 ttl=64 time=0.940 ms
