Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702582327,,0,,,
1654702582333,,,,0,
1654702582348,,,0,,
1654702582399,,229,,,
1654702582547,,,231,,
1654702582549,,,,231,
1654702582575,,0,,,
1654702582581,,,0,,
1654702582583,,,,0,
1654702582629,,231,,,
1654702582655,,,231,,
1654702582691,,,,231,
1654702582716,,0,,,
1654702582730,,,0,,
1654702582745,,231,231,,
1654702582760,,,,0,
1654702582777,0,,,,,
1654702582783,,,,231,
1654702582802,0,,,,
1654702582818,65,,,,,
1654702582861,288,,,,
1654702583394,,,,231,
1654702583490,,231,,,
1654702583501,,,231,,
1654702583722,,,231,,
1654702583761,,231,,,
1654702583806,65,,,,,
1654702583812,288,,,,
1654702583821,,,,231,
1654702583912,,,231,,
1654702583964,,231,,,
1654702583985,,,,231,
1654702584780,65,,,,,
1654702584814,288,,,,
1654702584883,,,,232,
1654702584987,,,232,,
1654702585007,,,,232,
1654702585011,,232,,,
1654702585078,,,232,,
1654702585273,,,232,,
1654702585284,,232,,,
1654702585366,,232,,,
1654702585485,,,,232,
1654702585513,,232,,,
1654702585578,,,232,,
1654702585779,65,,,,,
1654702585804,290,,,,
1654702585841,,,232,,
1654702585976,,,,232,
1654702586020,,,232,,
1654702586046,,232,,,
1654702586067,,,,232,
1654702586386,,,,232,
1654702586612,,,232,,
1654702586621,,,,232,
1654702586657,,232,,,
1654702586745,,232,,,
1654702586792,65,,,,,
1654702586809,,,232,,
1654702586810,292,,,,
1654702586824,,,,232,
1654702586898,,232,,,
1654702586910,,,,232,
1654702586930,,,232,,
1654702587003,,232,,,
1654702587493,,,,232,
1654702587548,,232,,,
1654702587552,,,232,,
1654702587665,,232,,,
1654702587677,,,232,,
1654702587679,,,,232,
1654702587797,65,,,,,
1654702587806,292,,,,
1654702587897,,,232,,
1654702587947,,233,,,
1654702587953,,,,233,
1654702588370,,232,,,
1654702588373,,,232,,
1654702588399,,,,232,
1654702588641,,,232,,
1654702588725,,,,232,
1654702588766,,232,,,
1654702588780,65,,,,,
1654702588822,292,,,,
1654702588870,,232,,,
1654702588882,,,232,,
1654702588944,,,,232,
1654702589350,,232,,,
1654702589370,,,,232,
1654702589460,,,232,,
1654702589641,,232,,,
1654702589642,,,232,,
1654702589693,,,,232,
1654702589782,65,,,,,
1654702589850,292,,,,
1654702589872,,,232,,
1654702589902,,,,232,
1654702589907,,232,,,
1654702590353,,,,232,
1654702590437,,232,232,,
1654702590621,,232,,,
1654702590623,,,,232,
1654702590653,,,232,,
1654702590782,65,,,,,
1654702590801,,,,232,
1654702590807,292,,,,
1654702590810,,232,,,
1654702590816,,,232,,
1654702591344,,,,232,
1654702591346,,232,,,
1654702591402,,,232,,
1654702591602,,,232,,
1654702591606,,232,,,
1654702591611,,,,232,
1654702591771,,232,,,
1654702591772,,,232,,
1654702591788,65,,,,,
1654702591805,292,,,,
1654702591863,,,,232,
1654702592380,,232,,,
1654702592394,,,232,232,
1654702592644,,,232,,
1654702592660,,232,,,
1654702592661,,,,232,
1654702592787,,,,232,
1654702592789,65,,,,,
1654702592805,292,,,,
1654702592872,,232,,,
1654702592905,,,232,,
1654702593337,,232,,,
1654702593344,,,,232,
1654702593372,,,232,,
1654702593647,,232,,,
1654702593648,,,232,,
1654702593665,,,,232,
1654702593781,65,,,,,
1654702593810,292,,,,
1654702593870,,,232,,
1654702593880,,232,,,
1654702593925,,,,232,
1654702594388,,,232,,
1654702594389,,232,,,
1654702594398,,,,232,
1654702594621,,232,,,
1654702594680,,,232,,
1654702594693,,,,232,
1654702594787,65,,,,,
1654702594813,292,,,,
1654702594879,,232,,,
1654702594930,,,,232,
1654702594942,,,232,,
1654702595449,,,,232,
1654702595455,,232,,,
1654702595523,,,232,,
1654702595728,,,232,,
1654702595774,,233,,,
1654702595780,65,,,,,
1654702595792,,,,232,
1654702595828,292,,,,
1654702595900,,232,,,
1654702595901,,,232,,
1654702595929,,,,232,
1654702596360,,,,232,
1654702596381,,232,,,
1654702596395,,,232,,
1654702596643,,,232,,
1654702596666,,232,,,
1654702596667,,,,232,
1654702596779,65,,,,,
1654702596787,,,232,,
1654702596806,292,,,,
1654702596884,,232,,,
1654702596894,,,,232,
1654702597347,,232,,,
1654702597348,,,,232,
1654702597360,,,232,,
1654702597593,,232,,,
1654702597596,,,,232,
1654702597614,,,232,,
1654702597732,,232,,,
1654702597757,,,232,,
1654702597783,65,,,,,
1654702597808,292,,,,
1654702597835,,,,232,
1654702598334,,232,,,
1654702598344,,,,232,
1654702598370,,,232,,
1654702598606,,,232,,
1654702598644,,232,,,
1654702598665,,,,232,
1654702598756,,,232,,
1654702598780,,232,,,
1654702598787,65,,,,,
1654702598789,,,,232,
1654702598813,292,,,,
1654702599346,,232,,,
1654702599348,,,,232,
1654702599422,,,232,,
1654702599609,,,232,232,
1654702599627,,232,,,
1654702599760,,232,,,
1654702599763,,,232,,
1654702599780,65,,,,,
1654702599816,,,,232,
1654702599846,292,,,,
1654702600337,,232,,,
1654702600343,,,,232,
1654702600361,,,232,,
1654702600632,,,232,,
1654702600705,,,,232,
1654702600708,,232,,,
1654702600784,65,,,,,
1654702600813,292,,,,
1654702600946,,,232,,
1654702600956,,232,,,
1654702600958,,,,232,
1654702601342,,233,,,
1654702601343,,,,233,
1654702601373,,,232,,
1654702601640,,,232,,
1654702601655,,,,232,
1654702601656,,232,,,
1654702601752,,232,,,
1654702601756,,,232,,
1654702601780,65,,,,,
1654702601805,292,,,,
1654702601807,,,,232,
1654702602335,,232,,,
1654702602342,,,,232,
1654702602381,,,232,,
1654702602645,,,232,,
1654702602649,,232,,232,
1654702602765,,,232,,
1654702602783,,232,,,
1654702602787,65,,,,,
1654702602805,292,,,,
1654702602812,,,,232,
1654702603342,,232,,,
1654702603355,,,,232,
1654702603373,,,232,,
1654702603585,,232,,,
1654702603590,,,232,232,
1654702603751,,,232,,
1654702603776,,232,,,
1654702603780,65,,,,,
1654702603804,292,,,,
1654702603815,,,,232,
1654702604336,,232,,,
1654702604385,,,,232,
1654702604389,,,232,,
1654702604587,,232,,,
1654702604609,,,232,,
1654702604637,,,,232,
1654702604733,,232,,,
1654702604746,,,232,,
1654702604779,65,,,,,
1654702604794,,,,232,
1654702604808,292,,,,
1654702605345,,232,,,
1654702605348,,,,232,
1654702605393,,,232,,
1654702605620,,,232,,
1654702605642,,233,,233,
1654702605789,65,,,,,
1654702605805,292,,,,
1654702605829,,232,,,
1654702605853,,,232,,
1654702605854,,,,232,
1654702606338,,232,,,
1654702606341,,,,232,
1654702606360,,,232,,
1654702606581,,232,,,
1654702606588,,,232,,
1654702606599,,,,232,
1654702606763,,232,,,
1654702606775,,,232,,
1654702606779,65,,,,,
1654702606781,,,,232,
1654702606808,292,,,,
1654702607340,,,,232,
1654702607344,,232,,,
1654702607377,,,232,,
1654702607599,,232,,,
1654702607611,,,232,,
1654702607622,,,,232,
1654702607756,,233,,,
1654702607758,,,233,,
1654702607779,,,,232,
1654702607780,65,,,,,
1654702607818,292,,,,
1654702608336,,232,,,
1654702608347,,,,232,
1654702608377,,,232,,
1654702608588,,232,,,
1654702608614,,,232,,
1654702608619,,,,232,
1654702608764,,,232,,
1654702608783,65,,232,,,
1654702608805,,,,232,
1654702608815,292,,,,
1654702609354,,232,,,
1654702609364,,,,232,
1654702609368,,,232,,
1654702609587,,232,,,
1654702609591,,,232,,
1654702609645,,,,232,
1654702609743,,,232,,
1654702609749,,232,,,
1654702609803,65,,,,,
1654702609807,292,,,,
1654702609851,,,,232,
1654702610333,,232,,,
1654702610349,,,,232,
1654702610355,,,232,,
1654702610626,,,232,232,
1654702610653,,232,,,
1654702610754,,,232,,
1654702610775,,232,,,
1654702610783,,,,232,
1654702610790,65,,,,,
1654702610808,292,,,,
1654702611332,,232,,,
1654702611338,,,,232,
1654702611356,,,232,,
1654702611583,0,,,,
1654702611633,,,,232,
1654702611636,,,,0,
1654702611656,,232,,,
1654702611671,,,232,,
1654702611673,,0,,,
1654702611677,,,0,,
1654702611681,0,
