Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702814917,,0,,,
1654702814978,,,,0,
1654702815105,,,0,,
1654702815264,,,,149566,
1654702815276,,137422,,,
1654702815322,,,186193,,
1654702815429,,,,222739,
1654702815490,,178041,,,
1654702815507,,,111270,,
1654702815951,,45355,,,
1654702815984,,,,40410,
1654702816181,,,54227,,
1654702816328,,,136287,,
1654702816348,,,,99177,
1654702816398,,91711,,,
1654702816536,,40934,,,
1654702816548,,,,80671,
1654702816561,,,76371,,
1654702816786,,55960,,,
1654702816854,,,,43683,
1654702817737,,,,43480,
1654702817933,,45901,,,
1654702818331,,,40188,,
1654702818380,,32317,,,
1654702818614,,,48275,,
1654702818663,,,,39063,
1654702818791,,,62570,,
1654702819038,,,,37989,
1654702819085,,,30908,,
1654702819462,,,93328,,
1654702819480,,,,88048,
1654702819484,,59876,,,
1654702819742,,,75960,,
1654702819764,,75175,,,
1654702819785,,,,72055,
1654702819826,,93016,,,
1654702819971,,,59855,,
1654702819992,,,,55317,
1654702820006,,,,122313,
1654702820108,,,133430,,
1654702820410,,127215,,,
1654702820433,,,162157,,
1654702820456,,,,173066,
1654702820574,,209196,,,
1654702820633,,,,167225,
1654702820673,,155420,189603,,
1654702820783,,,136636,,
1654702820839,,,,151673,
1654702820908,,143773,,,
1654702820930,,,,164923,
1654702820984,,133155,,,
1654702820989,,,144946,,
1654702821091,,,,173552,
1654702821117,,,199398,,
1654702821205,,175300,,,
1654702821428,,,195192,,
1654702821442,,,,179712,
1654702821456,,197682,,,
1654702821558,,,,273948,
1654702821590,,,217456,,
1654702821619,,219165,,,
1654702821636,,318941,,,
1654702821769,,378571,,,
1654702821846,,,,321222,
1654702822026,,,462806,,
1654702822253,,,496333,,
1654702822256,,,,550530,
1654702822273,,528584,,,
1654702822391,,,,732860,
1654702822419,,670503,,,
1654702822443,,,595568,,
1654702822755,,491809,,,
1654702822839,,,,504551,
1654702823047,,,553799,,
1654702823250,,,,533141,
1654702823289,,,464404,,
1654702823298,,532239,,,
1654702823406,,,,422212,
