Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654702814914,,127956,,,
1654702814976,,,,102808,
1654702815104,,,117780,,
1654702815262,,,,105496,
1654702815276,,128632,,,
1654702815292,,,,105524,
1654702815301,,128660,,,
1654702815320,,,118280,,
1654702815340,,,118292,,
1654702815428,,,,105864,
1654702815463,,,,105884,
1654702815470,,128960,,,
1654702815498,,,,105884,
1654702815505,,128968,,,
1654702815506,,,118528,,
1654702815528,,128976,,,
1654702815534,214836,,,,
1654702815539,,,118528,,
1654702815564,,,118528,,
1654702815680,165704,,,,,
1654702815950,,129124,,,
1654702815965,,,,105992,
1654702816059,,129180,,,
1654702816061,,,,108096,
1654702816180,,,120724,,
1654702816212,,,120736,,
1654702816327,,,120804,,
1654702816344,,,,108184,
1654702816377,,,120824,,
1654702816397,,129368,,,
1654702816400,,,,108472,
1654702816431,,,,108516,
1654702816451,,,120912,,
1654702816461,178200,,,,,
1654702816474,,129368,,,
1654702816491,215364,,,,
1654702816492,,129384,,,
1654702816535,,129432,,,
1654702816548,,,,108568,
1654702816557,,129432,,,
1654702816560,,,120940,,
1654702816569,,,,108572,
1654702816594,,,,108576,
1654702816610,,129480,,,
1654702816622,,,120940,,
1654702816644,,,120944,,
1654702816786,,129544,,,
1654702816854,,,,108692,
1654702817066,,,,112420,
1654702817174,,129604,,,
1654702817662,185648,,,,,
1654702817690,232112,,,,
1654702817737,,,,116812,
1654702817922,,,,116836,
1654702817932,,132856,,,
1654702817970,,,,116836,
1654702818203,,,126080,,
1654702818359,,,137740,,
1654702818372,,133412,,,
1654702818379,,133396,,,
1654702818601,185996,,,,,
1654702818613,,,153960,,
1654702818631,236328,,,,
1654702818662,,,,118732,
1654702818709,,135144,,,
1654702818710,,135424,,,
1654702818791,,,160916,,
1654702818804,,,,118796,
1654702818806,,,160916,,
1654702818907,,,161540,,
1654702818966,,,,118844,
1654702818967,,,161540,,
1654702819027,,,,118852,
1654702819081,,,166288,,
1654702819084,,,166296,,
1654702819109,,,,118864,
1654702819210,,,,118920,
1654702819257,,,167896,,
1654702819461,,,167992,,
1654702819473,,152668,,,
1654702819480,,,,118920,
1654702819523,,,167992,,
1654702819545,292192,,,,
1654702819548,186072,,,,,
1654702819565,,154364,,,
1654702819627,,,168004,,
1654702819628,,,,118964,
1654702819741,,,168068,,
1654702819763,,158572,,,
1654702819784,,,,118992,
1654702819788,,159036,,,
1654702819795,,,168084,,
1654702819825,,159564,,,
1654702819846,,159564,,,
1654702819877,,,,119068,
1654702819920,,,,119044,
1654702819947,,,,119068,
1654702819970,,,168120,,
1654702819986,,,168148,,
1654702820004,,160108,,,
1654702820005,,,,119080,
1654702820031,,,168148,,
1654702820050,,,,119084,
1654702820052,,160780,,,
1654702820086,,,,119084,
1654702820107,,,168460,,
1654702820137,,,,119084,
1654702820180,,,170516,,
1654702820277,,,171332,,
1654702820409,,158444,,,
1654702820429,,,177948,,
1654702820455,,,,121292,
1654702820459,,158492,,,
1654702820475,186084,,,,,
1654702820511,325816,,,,
1654702820512,,158508,,,
1654702820513,,,181148,,
1654702820515,,,,121344,
1654702820568,,,,121344,
1654702820573,,158512,,,
1654702820586,,,181168,,
1654702820618,,158556,,,
1654702820631,,,,121360,
1654702820648,,,,121360,
1654702820673,,160620,181176,,
1654702820728,,160632,,,
1654702820758,,,181196,,
1654702820782,,,181200,,
1654702820803,,160932,,,
1654702820837,,,,121384,
1654702820867,,,182000,,
1654702820904,,,184112,,
1654702820906,,160948,,,
1654702820929,,,,121400,
1654702820965,,,,121404,
1654702820977,,,,123456,
1654702820983,,160964,,,
1654702820989,,,184388,,
1654702820990,,160964,,,
1654702820996,,,,123456,
1654702821047,,,184388,,
1654702821051,,160972,,,
1654702821055,,,,123868,
1654702821075,,,184408,,
1654702821084,,160972,,,
1654702821090,,,,123872,
1654702821116,,,184408,,
1654702821129,,,,124132,
1654702821146,,,186480,,
1654702821204,,164948,,,
1654702821256,,166060,,,
1654702821271,,166060,,,
1654702821427,,,186576,,
1654702821441,,,,124368,
1654702821455,,167700,,,
1654702821466,186096,,,,,
1654702821467,,,,124368,
1654702821485,326216,,,,
1654702821487,,167720,,,
1654702821493,,,186584,,
1654702821494,,,,124372,
1654702821504,,167720,,,
1654702821514,,,186596,,
1654702821557,,,,124408,
1654702821574,,,,124408,
1654702821588,,,,124408,
1654702821589,,,186608,,
1654702821612,,,186612,,
1654702821618,,169832,,,
1654702821634,,169848,,,
1654702821635,,169848,,,
1654702821646,,169864,,,
1654702821647,,,186612,,
1654702821652,,169868,,,
1654702821665,,169868,,,
1654702821769,,169932,,,
1654702821845,,,,124468,
1654702822025,,,186636,,
1654702822036,,,,124472,
1654702822038,,170308,,,
1654702822051,,,186640,,
1654702822253,,,186684,,
1654702822255,,,,124488,
1654702822267,,,,124488,
1654702822268,,,186684,,
1654702822272,,170280,,,
1654702822280,,,,124488,
1654702822286,,,186684,,
1654702822287,,170280,,,
1654702822302,,170280,,,
1654702822389,,,,126540,
1654702822407,,,,126544,
1654702822418,,170284,,,
1654702822427,,,,126544,
1654702822442,,,186688,,
1654702822455,174892,,170292,,,
1654702822460,327524,,,,
1654702822471,,170296,186692,,
1654702822486,,,188740,,
1654702822754,,172372,,,
1654702822838,,,,126564,
1654702823031,,,,126564,
1654702823040,,172372,,,
1654702823047,,,188764,,
1654702823063,,,188776,,
1654702823250,,,,126580,
1654702823271,,,,126596,
1654702823288,,,188788,126664,
1654702823297,,172396,,,
1654702823307,,,188836,,
1654702823322,,,188836,,
1654702823323,,172448,,,
1654702823339,,172452,,,
1654702823404,,,,126664,
1654702823421,,,,126672,
1654702823433,,,,126672,
1654702823434,174904,,,,,
1654702823444,,172452,,,
1654702823462,,,188852,,
1654702823477,,172468,,,
1654702823489,328552,,,,
1654702823501,,,188876,,
1654702823507,,172548,,,
1654702823518,,,188876,,
1654702823735,,172560,,,
1654702823855,,,,126676,
1654702824033,,,188964,,
1654702824034,,,,126684,
1654702824044,,172568,,,
1654702824047,,,188964,,
1654702824243,,,188988,,
1654702824247,,,,128744,
1654702824254,,172568,,,
1654702824262,,,,128744,
1654702824264,,,188988,,
1654702824271,,172572,,,
1654702824281,,,191036,,
1654702824289,,174620,,128744,
1654702824406,,,,128780,
1654702824433,,,,128804,
1654702824442,174916,,,,,
1654702824451,,,,128804,
1654702824457,,174672,,,
1654702824458,337372,,,,
1654702824473,,,191092,,
1654702824474,,174684,,,
1654702824490,,,191108,,
1654702824492,,174684,,,
1654702824504,,,191108,,
1654702824758,,174692,,,
1654702824841,,,,128816,
1654702825034,,,191112,,
1654702825049,,,191116,,
1654702825052,,,,128824,
1654702825059,,174692,,,
1654702825280,,174696,,,
1654702825287,,,175156,,
1654702825305,,174696,,,
1654702825306,,,,128828,
1654702825316,,,175160,,
1654702825325,,174696,,128828,
1654702825343,,,,128828,
1654702825363,,,175160,,
1654702825448,174932,,,,,
1654702825482,335844,,,,
1654702825490,,,,128840,
1654702825520,,,,128840,
1654702825529,,166436,,,
1654702825550,,,175176,,
1654702825553,,166436,,130896,
1654702825580,,,175176,,
1654702825585,,166440,,,
1654702825620,,,175184,,
1654702825783,,166464,,,
1654702825857,,,,130920,
1654702826034,,,,130928,
1654702826051,,168512,,,
1654702826067,,,175200,,
1654702826091,,,177248,,
1654702826249,,,,130944,
1654702826268,,,177272,,
1654702826272,,168520,,130948,
1654702826292,,168528,,,
1654702826303,,,,130960,
1654702826314,,,177276,,
1654702826327,,168528,,,
1654702826341,,,177292,,
1654702826407,,,,130980,
1654702826432,174948,,,177308,,
1654702826452,,,,130980,
1654702826457,,168544,,,
1654702826459,336896,,,,
1654702826476,,,,130980,
1654702826485,,,177308,,
1654702826486,,168544,,,
1654702826516,,168544,177308,,
1654702826752,,168604,,,
1654702826839,,,,131024,
1654702827035,,,,131024,
1654702827062,,168604,,,
1654702827069,,,177360,,
1654702827091,,,177360,,
1654702827257,,,177364,,
1654702827272,,,,131024,
1654702827280,,168608,,,
1654702827282,,,177364,,
1654702827294,,,,133072,
1654702827306,,,177364,,
1654702827316,,168608,,,
1654702827317,,,,133072,
1654702827333,,168608,,,
1654702827431,,,179448,,
1654702827442,,,,133104,
1654702827446,,,179448,,
1654702827476,336920,,,,
1654702827491,,,179448,,
1654702827518,,170684,,,
1654702827521,,,,133104,
1654702827544,174972,,,,,
1654702827569,,,,133628,
1654702827570,,170688,,,
1654702827589,,170688,,,
1654702827786,,170692,,,
1654702827910,,,,139468,
1654702828043,,170720,,,
1654702828050,,,,148976,
1654702828058,,,180880,,
1654702828077,,,180884,,
1654702828319,,,180908,,
1654702828358,,170748,,,
1654702828366,,,180908,,
1654702828402,,,,149260,
1654702828405,,,180908,,
1654702828443,,170748,,,
1654702828444,,,,151568,
1654702828473,174976,,,,,
1654702828485,,170760,,,
1654702828486,350480,,,,
1654702828506,,,,151584,
1654702828543,,170760,,,
1654702828570,,,,151848,
1654702828605,,,,151848,
1654702828623,,,,151860,
1654702828638,,170768,,,
1654702828660,,,180924,,
1654702828729,,170780,,,
1654702828749,,,180928,,
1654702828775,,,180928,,
1654702828806,,170800,,,
1654702828879,,,,158692,
1654702829062,,,180964,158860,
1654702829067,,170808,,,
1654702829093,,,180964,,
1654702829373,,172892,,,
1654702829423,,172892,,,
1654702829430,,,183044,,
1654702829473,,,,159268,
1654702829498,,,,159272,
1654702829512,,172904,,,
1654702829545,,,,159648,
1654702829555,174992,,,,,
1654702829558,350820,,,,
1654702829559,,,183056,,
1654702829602,,,183060,,
1654702829634,,,183080,,
1654702829682,,,183108,159660,
1654702829720,,,183108,,
1654702829724,,,,159660,
1654702829756,,172932,,,
1654702829777,,,,159692,
1654702829788,,172944,,,
1654702829833,,172944,,,
1654702829867,,,,159692,
1654702829888,,172944,,,
1654702830051,,,,159696,
1654702830056,,,183124,,
1654702830063,,172948,,,
1654702830112,,,183128,,
1654702830273,,,,159712,
1654702830277,,172948,,,
1654702830325,,,,159712,
1654702830344,,172964,,,
1654702830372,,,,150832,
1654702830397,,172968,,,
1654702830416,,,183128,,
1654702830452,,,183144,,
1654702830505,175104,,,,,
1654702830511,342208,,,,
1654702830542,,,183144,,
1654702830602,,,,150852,
1654702830631,,172968,,,
1654702830633,,,183144,,
1654702830659,,,,150856,
1654702830675,,,183156,,
1654702830689,,172968,,150856,
1654702830716,,,185212,,
1654702830717,,172980,,,
1654702830781,,175036,,,
1654702830908,,,,150856,
1654702831077,,,,150880,
1654702831081,,175048,,,
1654702831104,,,185212,,
1654702831137,,,185224,,
1654702831318,,,,150888,
1654702831360,,,185244,,
1654702831364,,,,150892,
1654702831384,,,,150892,
1654702831408,,175104,,,
1654702831426,,,185248,,
1654702831441,,175116,,,
1654702831462,175128,,,,,
1654702831467,,175116,,,
1654702831471,342276,,,,
1654702831473,,,185252,,
1654702831503,,175128,,,
1654702831521,,175160,,,
1654702831548,,175160,,,
1654702831568,,,,150904,
1654702831569,,,185260,,
1654702831585,,,,150932,
1654702831612,,,185292,,
1654702831640,,,,150932,
1654702831645,,,185296,,
1654702831751,,175164,,,
1654702831839,,,,150936,
1654702832049,,,185304,,
1654702832051,,,,150936,
1654702832072,,,185304,,
1654702832084,,175164,,,
1654702832347,,175172,,,
1654702832357,,,,152996,
1654702832375,,175172,,,
1654702832381,,,187368,,
1654702832408,,,,152996,
1654702832418,,175172,,,
1654702832425,,,187368,,
1654702832445,175136,,,,,
1654702832464,,,,152996,
1654702832466,342308,,,,
1654702832543,,,187368,,
1654702832560,,,187368,,
1654702832570,,,187368,,
1654702832576,,177220,,,
1654702832586,,,187368,,
1654702832614,,177220,,,
1654702832620,,,,152996,
1654702832637,,177220,,,
1654702832648,,,,152996,
1654702832662,,,,152996,
1654702832789,,177232,,,
1654702832852,,,,153024,
1654702833034,,,,153040,
1654702833055,,177252,187384,,
1654702833074,,,187384,,
1654702833286,,177252,,,
1654702833322,,177320,,,
1654702833331,,,,153040,
1654702833347,,177320,,,
1654702833364,,,187408,,
1654702833478,,,187412,,
1654702833479,,,,153052,
1654702833488,175144,,,,,
1654702833498,342396,,,,
1654702833541,,,,153576,
1654702833569,,,187428,,
1654702833701,,,187436,,
1654702833732,,,187436,,
1654702833844,,177580,,,
1654702833845,,,193768,,
1654702833878,,,,155624,
1654702833975,,,,155624,
1654702833996,,178108,,,
1654702834028,,178636,,,
1654702834033,,,,156944,
1654702834074,,178636,,,
1654702834108,,178636,,,
1654702834128,,,,156944,
1654702834146,,,,156944,
1654702834355,,,199248,,
1654702834392,,,199260,,
1654702834440,175164,,,,,
1654702834470,342416,,,,
1654702834531,,,200320,,
1654702834564,,183948,,,
1654702834576,,,202960,,
1654702834619,,,,160612,
1654702834621,,183948,,,
1654702834631,,,204548,,
1654702834664,,,,160612,
1654702834681,,183948,,,
1654702834689,,,,160612,
1654702834814,,184080,,,
1654702834906,,,,160616,
1654702834927,,184080,,,
1654702834948,,,,160624,
1654702834978,,,204772,,
1654702834982,,184084,,,
1654702834985,,,,160624,
1654702835017,,,204772,,
1654702835036,,,204772,,
1654702835080,,,,160624,
1654702835101,,,,160624,
1654702835120,,184084,,,
1654702835149,,184084,,,
1654702835264,,,204772,,
1654702835287,,,204772,,
1654702835337,,184092,,,
1654702835377,,184092,,,
1654702835380,,,,162684,
1654702835416,,,187324,,
1654702835439,,175572,,,
1654702835459,175188,,,,,
1654702835462,,,187324,,
1654702835468,,,,158680,
1654702835501,334516,,187324,,
1654702835522,,,,157484,
1654702835585,,,,157484,
1654702835593,,175572,,,
1654702835628,,,,157484,
1654702835630,,175572,,,
1654702835652,,,,157484,
