Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654522064277,,,0,,
1654522064322,,0,,,
1654522064351,,,,0,
1654522064362,,,349117,,
1654522064373,,,,197863,
1654522064408,,363244,,,
1654522064450,,,,484103,
1654522064484,,,330245,,
1654522064537,,191734,,,
1654522065196,,,20359,,
1654522065265,,30311,,,
1654522065268,,,,29920,
1654522065367,,,160680,193818,
1654522065402,,179087,,,
1654522065514,,,156938,,
1654522065651,,74165,,83591,
1654522066368,,,,27751,
1654522066621,,51122,,,
1654522066638,,133235,,,
1654522066751,,,47681,,
1654522066802,,67092,,,
1654522066810,,,,98445,
1654522066985,,,31564,,
1654522067117,,,0,,
1654522067130,,,,7146,
1654522067642,,,,82751,
1654522067676,,,,32823,
1654522067696,,,,100950,
1654522067744,,,77968,,
1654522067840,,,50273,,
1654522067910,,,58943,,
1654522067953,,56810,,,
1654522067974,,39612,,,
1654522068122,,27763,,,
1654522068231,,,84180,,
1654522068267,,,,75854,
1654522068334,,178608,,,
1654522068389,,,165278,,
1654522068390,,,,181688,
1654522068474,,,,226329,
1654522068475,,,223697,,
1654522068549,,138158,,,
1654522068575,,62538,,,
1654522069189,,,44291,,
1654522069264,,,,51543,
1654522069268,,49940,,,
1654522069357,,,,227268,
1654522069358,,,179408,,
1654522069398,,199151,,,
1654522069433,,,,313880,
1654522069449,,,305670,,
1654522069458,,387600,,,
1654522070186,,,32576,,
1654522070259,,41632,,,
1654522070260,,,,46376,
1654522070357,,,189923,232927,
1654522070395,,205125,,,
1654522070437,,,,319740,
1654522070445,,,314750,,
1654522070456,,382229,,,
1654522071189,,,31616,,
1654522071255,,,,41160,
1654522071258,,38389,,,
1654522071353,,,179436,,
1654522071356,,,,215400,
1654522071397,,187804,,,
1654522071431,,,,334394,
1654522071448,,,309168,,
1654522071455,,425135,,,
1654522072189,,,46990,,
1654522072257,,,,64592,
1654522072261,,61346,,,
1654522072355,,,248994,,
1654522072363,,,,264584,
1654522072398,,234786,,,
1654522072433,,,,396128,
1654522072450,,,348795,,
1654522072460,,443741,,,
1654522073186,,,98502,,
1654522073256,,,,107520,
1654522073259,,105986,,,
1654522073355,,,203402,,
1654522073357,,,,229663,
1654522073396,,197028,,,
1654522073436,,,,319564,
1654522073450,,,360652,,
1654522073478,,372524,,,
1654522074184,,,60403,,
1654522074258,,,,83777,
1654522074261,,75874,,,
1654522074353,,,234089,,
1654522074359,,,,239663,
1654522074395,,207822,,,
1654522074435,,,,386493,
1654522074455,,483316,,,
1654522074456,,,329048,,
1654522075187,,,73042,,
1654522075256,,,,88734,
1654522075260,,85917,,,
1654522075354,,,286479,,
1654522075356,,,,323850,
1654522075396,,272854,,,
1654522075436,,,,332787,
1654522075446,,,318945,,
1654522075459,,399301,,,
1654522076186,,,57931,,
1654522076259,,74217,,76341,
1654522076354,,,318940,,
1654522076355,,,,373572,
1654522076396,,305391,,,
1654522076434,,,,347628,
1654522076452,,,303040,,
1654522076468,,344625,,,
1654522077185,,,154667,,
1654522077256,,,,159805,
1654522077258,,161648,,,
1654522077354,,,231928,241846,
1654522077395,,208413,,,
1654522077434,,,,317350,
1654522077449,,,364458,,
1654522077458,,484253,,,
1654522078187,,,163657,,
1654522078256,,,,191289,
1654522078260,,183390,,,
1654522078353,,,328566,,
1654522078355,,,,326030,
1654522078394,,321276,,,
1654522078442,,,,360827,
1654522078446,,,390623,,
1654522078467,,326041,,,
1654522079187,,,134817,,
1654522079257,,150383,,149133,
1654522079353,,,358150,,
1654522079356,,,,389540,
1654522079395,,339625,,,
1654522079434,,,,354962,
1654522079446,,,336623,,
1654522079454,,387644,,,
1654522080184,,,122608,,
1654522080256,,,,146115,
1654522080259,,144575,,,
1654522080354,,,379058,,
1654522080358,,,,383303,
1654522080396,,348562,,,
