Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654522064276,,,197336,,
1654522064321,,203100,,,
1654522064350,,,,200540,
1654522064361,,,197552,,
1654522064362,,,,200552,
1654522064372,,,,200556,
1654522064373,,,197552,,
1654522064379,,,,200636,
1654522064408,,203176,,,
1654522064420,,203176,,,
1654522064450,,,,200784,
1654522064464,,,,200784,
1654522064483,,,197796,,
1654522064498,,,197796,,
1654522064510,,,,200784,
1654522064516,,,197796,,
1654522064523,169816,,,,,
1654522064536,,203312,,,
1654522064551,349808,,,,
1654522064555,,203312,,,
1654522064563,,203528,,,
1654522065195,,,197804,,
1654522065264,,203684,,,
1654522065267,,,,200944,
1654522065274,,,197808,,
1654522065275,,,,200944,
1654522065277,,203684,,,
1654522065366,,,197808,200944,
1654522065374,,,197808,200944,
1654522065395,,203828,197808,,
1654522065406,,,,200944,
1654522065432,,203828,,,
1654522065502,180780,,,,,
1654522065514,,,198052,,
1654522065516,350112,,,,
1654522065529,,,198052,,
1654522065636,,203828,,,
1654522065650,,203836,,,
1654522065651,,,,201296,
1654522065665,,,,201296,
1654522065670,,203852,,,
1654522065672,,,,201296,
1654522065680,,203852,,,
1654522065778,,,198052,,
1654522066368,,,,202152,
1654522066447,,,,202152,
1654522066610,180780,,,,,
1654522066621,,204956,,,
1654522066627,,204956,,,
1654522066638,,204960,,,
1654522066665,355280,,,,
1654522066750,,,198792,,
1654522066801,,205216,,,
1654522066803,,,198884,,
1654522066809,,,,202156,
1654522066868,,205216,,,
1654522066880,,,,202392,
1654522066985,,,199064,,
1654522066989,,205224,,,
1654522066993,,,,202392,
1654522067050,,,,202540,
1654522067051,,205228,,,
1654522067095,,205232,,,
1654522067117,,,199068,,
1654522067152,,,199068,,
1654522067155,,,199064,,
1654522067237,,,,202632,
1654522067297,,,199092,,
1654522067403,,,,202632,
1654522067478,,,199096,,
1654522067535,362480,,,,
1654522067538,181748,,,,,
1654522067641,,,,203136,
1654522067650,,,,203136,
1654522067676,,,,203144,
1654522067696,,,,203148,
1654522067729,,,,203148,
1654522067743,,,199368,,
1654522067763,,,,203148,
1654522067833,,,199368,,
1654522067834,,,,203148,
1654522067839,,,199576,203168,
1654522067887,,,199576,,
1654522067906,,,199580,,
1654522067910,,,199580,,
1654522067928,,,199580,,
1654522067943,,206364,,,
1654522067963,,,199580,,
1654522067973,,206364,,,
1654522067997,,206364,,,
1654522068121,,206364,,,
1654522068122,,206364,,,
1654522068130,,206364,,,
1654522068144,,206364,,,
1654522068161,,206364,,,
1654522068231,,,200192,,
1654522068264,,,200192,,
1654522068267,,,,203464,
1654522068278,,,,203464,
1654522068334,,207424,,,
1654522068348,,207424,,,
1654522068389,,,200328,203568,
1654522068398,,,,203660,
1654522068404,,,,203660,
1654522068408,,,200328,,
1654522068453,,,200328,,
1654522068474,,,,203660,
1654522068475,,,200332,,
1654522068476,181748,,,,,
1654522068508,,,200332,203660,
1654522068516,,,200332,,
1654522068517,,,,203660,
1654522068523,366048,,,,
1654522068549,,207896,,,
1654522068557,,207896,,,
1654522068563,,207896,,,
1654522068574,,207900,,,
1654522068584,,207900,,,
1654522068590,,207900,,,
1654522069187,,,200384,,
1654522069262,,,200384,203852,
1654522069265,,207996,,,
1654522069275,,207996,,,
1654522069276,,,,203852,
1654522069356,,,,203852,
1654522069357,,,200384,,
1654522069365,,,200384,203852,
1654522069395,,,,203852,
1654522069396,,,200384,,
1654522069397,,207996,,,
1654522069405,,208056,,,
1654522069412,,208056,,,
1654522069432,,,,203960,
1654522069440,,,,203960,
1654522069447,,,,203960,
1654522069449,,,200536,,
1654522069456,,,200536,,
1654522069457,,208056,,,
1654522069463,,,200536,,
1654522069465,,208056,,,
1654522069471,,208056,,,
1654522069472,181748,,,,,
1654522069494,366472,,,,
1654522070185,,,200536,,
1654522070259,,208056,,,
1654522070260,,,,203960,
1654522070272,,,200572,203960,
1654522070274,,208056,,,
1654522070356,,,200572,204064,
1654522070363,,,,204064,
1654522070364,,,200572,,
1654522070395,,208108,200644,,
1654522070396,,,,204064,
1654522070401,,208108,,,
1654522070407,,208108,,,
1654522070436,,,,204064,
1654522070444,,,200644,,
1654522070445,,,,204108,
1654522070451,,,,204108,
1654522070452,,,200644,,
1654522070455,,208112,,,
1654522070457,,,200644,,
1654522070462,,208136,,,
1654522070467,,208136,,,
1654522070468,181748,,,,,
1654522070499,366880,,,,
1654522071188,,,200644,,
1654522071255,,,,204108,
1654522071257,,208136,,,
1654522071259,,,200644,,
1654522071261,,,,204108,
1654522071264,,208136,,,
1654522071353,,,200656,,
1654522071355,,,,204216,
1654522071360,,,200656,,
1654522071362,,,,204216,
1654522071395,,,200656,204216,
1654522071396,,208328,,,
1654522071402,,208328,,,
1654522071408,,208328,,,
1654522071431,,,,204216,
1654522071440,,,,204216,
1654522071447,,,200656,204216,
1654522071455,,208328,200656,,
1654522071460,,,200656,,
1654522071462,,208328,,,
1654522071468,,208328,,,
1654522071470,181748,,,,,
1654522071496,367184,,,,
1654522072188,,,200656,,
1654522072257,,,,204248,
1654522072261,,208448,,,
1654522072262,,,200656,,
1654522072264,,,,204248,
1654522072267,,208448,,,
1654522072355,,,200656,,
1654522072362,,,200656,,
1654522072363,,,,204248,
1654522072373,,,,204248,
1654522072397,,208448,,,
1654522072398,,,200656,204248,
1654522072404,,208448,,,
1654522072411,,208448,,,
1654522072433,,,,204248,
1654522072440,,,,204248,
1654522072446,,,,204248,
1654522072447,,,200656,,
1654522072458,,208448,,,
1654522072459,,,200656,,
1654522072468,,208448,200656,,
1654522072476,181748,,,,,
1654522072480,,208448,,,
1654522072505,368052,,,,
1654522073185,,,200656,,
1654522073256,,,,204248,
1654522073258,,208448,,,
1654522073259,,,200656,,
1654522073262,,,,204248,
1654522073264,,208448,,,
1654522073354,,,200656,,
1654522073357,,,,204248,
1654522073361,,,200656,,
1654522073363,,,,204248,
1654522073394,,,200656,,
1654522073395,,208448,,,
1654522073396,,,,204248,
1654522073402,,208448,,,
1654522073408,,208448,,,
1654522073435,,,,204372,
1654522073441,,,,204372,
1654522073447,,,,204372,
1654522073449,,,200772,,
1654522073456,,,200772,,
1654522073465,,,200772,,
1654522073469,181752,,,,,
1654522073477,,208448,,,
1654522073487,,208484,,,
1654522073500,368372,208484,,,
1654522074184,,,200772,,
1654522074257,,,,204372,
1654522074260,,208484,,,
1654522074261,,,200772,,
1654522074266,,,,204372,
1654522074268,,208484,,,
1654522074352,,,200772,,
1654522074358,,,,204372,
1654522074359,,,200772,,
1654522074364,,,,204372,
1654522074394,,208484,200772,,
1654522074395,,,,204372,
1654522074401,,208484,,,
1654522074406,,208664,,,
1654522074434,,,,204372,
1654522074443,,,,204372,
1654522074449,,,,204440,
1654522074455,,208664,,,
1654522074456,,,200772,,
1654522074463,,,200772,,
1654522074466,,208664,,,
1654522074470,,,200772,,
1654522074473,181836,,208664,,,
1654522074494,368468,,,,
1654522075186,,,200832,,
1654522075256,,,,204440,
1654522075259,,208664,,,
1654522075263,,,200832,204440,
1654522075266,,208664,,,
1654522075354,,,200832,,
1654522075356,,,,204440,
1654522075360,,,200832,,
1654522075362,,,,204440,
1654522075395,,208680,200832,204440,
1654522075402,,208680,,,
1654522075408,,208680,,,
1654522075436,,,,204440,
1654522075445,,,,204548,
1654522075446,,,200832,,
1654522075452,,,,204548,
1654522075453,,,200832,,
1654522075459,,208680,200832,,
1654522075466,,208680,,,
1654522075470,181836,,,,,
1654522075471,,208680,,,
1654522075494,368552,,,,
1654522076185,,,200900,,
1654522076258,,208680,,,
1654522076259,,,,204548,
1654522076260,,,200900,,
1654522076265,,208680,,,
1654522076266,,,,204548,
1654522076353,,,200900,,
1654522076355,,,,204548,
1654522076363,,,200900,204548,
1654522076395,,208876,,204604,
1654522076396,,,200996,,
1654522076402,,208876,,,
1654522076408,,208876,,,
1654522076433,,,,204604,
1654522076441,,,,204604,
1654522076451,,,201000,,
1654522076453,,,,204604,
1654522076460,,,201004,,
1654522076468,,208876,,,
1654522076469,,,201004,,
1654522076480,181836,,,,,
1654522076489,,208876,,,
1654522076496,,208876,,,
1654522076497,368552,,,,
1654522077184,,,220160,,
1654522077256,,,,204604,
1654522077257,,208916,,,
1654522077260,,,220160,,
1654522077263,,208916,,,
1654522077264,,,,204604,
1654522077353,,,220160,,
1654522077354,,,,204604,
1654522077359,,,220160,,
1654522077360,,,,204604,
1654522077394,,208916,,,
1654522077396,,,220160,,
1654522077400,,,,204604,
1654522077401,,208916,,,
1654522077406,,208916,,,
1654522077434,,,,204688,
1654522077440,,,,204688,
1654522077446,,,,204688,
1654522077448,,,220160,,
1654522077456,,,220160,,
1654522077457,,208972,,,
1654522077462,,,220160,,
1654522077464,,208972,,,
1654522077469,181836,,,,,
1654522077470,,208972,,,
1654522077498,368552,,,,
1654522078187,,,220160,,
1654522078255,,,,204688,
1654522078260,,208972,220160,,
1654522078262,,,,204688,
1654522078267,,208972,,,
1654522078353,,,220160,,
1654522078354,,,,204688,
1654522078361,,,220160,204688,
1654522078394,,208972,,,
1654522078395,,,220160,204688,
1654522078401,,208972,,,
1654522078407,,208972,,,
1654522078442,,,,204776,
1654522078446,,,220332,,
1654522078449,,,,204776,
1654522078456,,,220332,204776,
1654522078466,,209064,,,
1654522078471,181836,,,,,
1654522078472,,,220332,,
1654522078475,,209064,,,
1654522078484,,209064,,,
1654522078499,368552,,,,
1654522079186,,,220332,,
1654522079256,,209064,,204776,
1654522079259,,,220332,,
1654522079263,,209064,,204776,
1654522079353,,,220332,,
1654522079355,,,,204776,
1654522079360,,,220332,,
1654522079362,,,,204776,
1654522079395,,209064,,204776,
1654522079396,,,220332,,
1654522079401,,209064,,,
1654522079408,,209064,,,
1654522079433,,,,204776,
1654522079440,,,,204776,
1654522079445,,,220332,,
1654522079447,,,,204776,
1654522079452,,,220332,,
1654522079454,,209064,,,
1654522079457,,,220332,,
1654522079460,,209064,,,
1654522079465,,209064,,,
1654522079470,182068,,,,,
1654522079495,368928,,,,
1654522080183,,,220332,,
1654522080256,,,,204776,
1654522080259,,209156,,,
1654522080264,,,220484,204832,
1654522080267,,209156,,,
1654522080354,,,220484,,
1654522080357,,,,204832,
1654522080363,,,220484,,
1654522080364,,,,204832,
1654522080395,,209156,,,
1654522080396,,,220484,,
1654522080400,,,,204832,
1654522080402,,209248,,,
1654522080409,,209248,,,
1654522080437,,,,204832,
1654522080444,,,,204832,
1654522080447,,,220484,,
1654522080451,,,,204832,
1654522080458,,209248,220484,,
1654522080464,,209248,220484,,
1654522080470,182068,,209248,,,
1654522080493,369096,,,,
1654522081188,,,220484,,
1654522081257,,209248,,204904,
1654522081260,,,220484,,
1654522081263,,209248,,,
1654522081264,,,,204904,
1654522081353,,,220484,,
1654522081355,,,,204904,
1654522081361,,,220484,,
1654522081362,,,,204904,
1654522081396,,209248,220484,204904,
1654522081402,,209248,,,
1654522081408,,209248,,,
1654522081435,,,,204904,
1654522081446,,,220484,,
1654522081447,,,,204904,
1654522081452,,,220484,204904,
1654522081459,,,220484,,
1654522081467,,209248,,,
1654522081471,182068,,,,,
1654522081473,,209248,,,
1654522081479,,209248,,,
1654522081493,369096,,,,
1654522082187,,,220484,,
1654522082258,,,,205928,
1654522082260,,209300,,,
1654522082262,,,220484,,
1654522082268,,,,205928,
1654522082269,,209300,,,
1654522082352,,,220484,,
1654522082358,,,,205928,
1654522082359,,,220484,,
1654522082365,,,,205928,
1654522082396,,,220484,205928,
1654522082397,,209368,,,
1654522082404,,209372,,,
1654522082410,,209372,,,
1654522082435,,,,205928,
1654522082446,,,,206064,
1654522082456,,,,206064,
1654522082461,,209372,,,
1654522082463,,,220484,,
1654522082470,,,220484,,
1654522082472,,209372,,,
1654522082474,182068,,,,,
1654522082478,,,220484,,
1654522082479,,209372,,,
1654522082494,369096,,,,
1654522083185,,,223640,,
1654522083255,,,,206064,
1654522083256,,209372,,,
1654522083259,,,223640,,
1654522083262,,209372,,,
1654522083263,,,,206064,
1654522083354,,,223640,,
1654522083358,,,,206064,
1654522083361,,,223640,,
1654522083366,,,,206064,
1654522083395,,,223640,206064,
1654522083396,,209372,,,
1654522083403,,209372,,,
1654522083408,,209372,,,
1654522083432,,,,206156,
1654522083438,,,,206156,
1654522083444,,,,206156,
1654522083445,,,223640,,
1654522083451,,,223640,,
1654522083457,,209372,,,
1654522083459,,,223640,,
1654522083467,,209372,,,
1654522083469,182068,,,,,
1654522083472,,209372,,,
1654522083494,369288,,,,
1654522084184,,,223640,,
1654522084255,,,,206156,
1654522084261,,209372,,,
1654522084263,,,223640,206156,
1654522084269,,209372,,,
1654522084354,,,,206156,
1654522084357,,,223640,,
1654522084361,,,,206156,
1654522084364,,,223640,,
1654522084394,,209372,,,
1654522084395,,,223640,206156,
1654522084400,,209372,,,
1654522084407,,209372,,,
1654522084431,,,,206156,
1654522084437,,,,206156,
1654522084445,,,,206248,
1654522084456,,209444,,,
1654522084463,,209444,223640,,
1654522084470,,,223640,,
1654522084473,,209444,,,
1654522084474,182068,,,,,
1654522084476,,,223640,,
1654522084493,369288,,,,
1654522085189,,,223768,,
1654522085258,,,,206248,
1654522085260,,209544,223768,,
1654522085267,,209544,,206248,
1654522085353,,,223768,,
1654522085356,,,,206248,
1654522085360,,,223768,,
1654522085363,,,,206248,
1654522085395,,,223768,,
1654522085396,,,,206248,
1654522085398,,209544,,,
1654522085404,,209544,,,
1654522085410,,209544,,,
1654522085431,,,,206248,
1654522085439,,,,206248,
1654522085444,,,223768,,
1654522085446,,,,206248,
1654522085449,,,223768,,
1654522085455,,209544,223768,,
1654522085468,182068,,,,,
1654522085472,,209544,,,
1654522085477,,209544,,,
1654522085496,369288,,,,
1654522086184,,,223768,,
1654522086253,,,,206248,
1654522086261,,209544,223768,,
1654522086267,,209544,,206248,
1654522086356,,,223768,206248,
1654522086362,,,223768,,
1654522086363,,,,206348,
1654522086395,,209544,223768,206348,
1654522086401,,209544,,,
1654522086407,,209544,,,
1654522086432,,,,206348,
1654522086440,,,,206348,
1654522086447,,,,206348,
1654522086448,,,223768,,
1654522086455,,,223768,,
1654522086463,,,223768,,
1654522086465,,209544,,,
1654522086471,,209544,,,
1654522086477,,209544,,,
1654522086479,182068,,,,,
1654522086503,369288,,,,
1654522087185,,,223920,,
1654522087258,,,,206404,
1654522087259,,209544,,,
1654522087263,,,223920,,
1654522087264,,,,206404,
1654522087266,,209544,,,
1654522087355,,,223920,,
1654522087359,,,,206404,
1654522087363,,,223920,,
1654522087367,,,,206404,
1654522087395,,,223920,,
1654522087396,,209588,,206404,
1654522087402,,209588,,,
1654522087410,,209588,,,
1654522087433,,,,206404,
1654522087440,,,,206404,
1654522087446,,,,206404,
1654522087448,,,223920,,
1654522087455,,,223920,,
1654522087456,,209588,,,
1654522087461,,,223920,,
1654522087464,,209588,,,
1654522087469,182068,,209588,,,
1654522087493,369372,,,,
1654522088185,,,223920,,
1654522088255,,,,206404,
1654522088256,,209588,,,
1654522088260,,,223920,,
1654522088262,,,,206404,
1654522088263,,209588,,,
1654522088354,,,223920,,
1654522088355,,,,206404,
1654522088363,,,223920,,
1654522088364,,,,206404,
1654522088395,,209656,223920,,
1654522088397,,,,206404,
1654522088404,,209656,,,
1654522088414,,209656,,,
1654522088433,,,,206404,
1654522088441,,,,206404,
1654522088445,,,223920,,
1654522088449,,,,206404,
1654522088455,,209656,223920,,
1654522088462,,,223920,,
1654522088463,,209656,,,
1654522088469,,209656,,,
1654522088471,182068,,,,,
1654522088494,369372,,,,
1654522089184,,,223984,,
1654522089259,,,,206432,
1654522089260,,209656,,,
1654522089267,,209656,223984,,
1654522089268,,,,206432,
1654522089356,,,223984,,
1654522089360,,,,206432,
1654522089363,,,223984,,
1654522089367,,,,206432,
1654522089394,,209656,,,
1654522089399,,,223984,206692,
1654522089401,,209656,,,
1654522089408,,209656,,,
1654522089442,,,,209716,
1654522089451,,,,209716,
1654522089452,,,223984,,
1654522089459,,,,209716,
1654522089465,,209688,,,
1654522089466,,,223984,,
1654522089474,182068,,,,,
1654522089479,,209688,,,
1654522089480,,,224060,,
1654522089488,,209688,,,
1654522089497,369372,,,,
