Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654522613815,,0,,,
1654522613928,,,0,,
1654522613930,,,,0,
1654522613968,,256720,,,
1654522613985,,,341017,,
1654522613986,,,,331696,
1654522614068,,,,330926,
1654522614071,,,315534,,
1654522614078,,291772,,,
1654522614747,,15578,,,
1654522614772,,,20630,,
1654522614898,,,,23304,
1654522614951,,99132,,,
1654522614997,,,105626,,
1654522615076,,,,167219,
1654522615149,,121611,,,
1654522615177,,,,56257,
1654522615194,,,84071,,
1654522616001,,,25275,,
1654522616119,,,,47175,
1654522616264,,,116954,,
1654522616279,,,4400,,
1654522616292,,,,40121,
1654522616296,,,,0,
1654522616402,,42003,,,
1654522616560,,13715,,,
1654522616967,,,27393,,
1654522617006,,35878,,,
1654522617350,,64264,,,
1654522617466,,,68943,,
1654522617542,,,,74778,
1654522617577,,,421900,188794,
1654522617593,,240106,,,
1654522617698,,669330,,,
1654522617708,,,,612810,
1654522617777,,,485845,,
1654522618011,,,,349716,
1654522618043,,,397220,,
1654522618061,,,408944,,
1654522618069,,,,431140,
1654522618093,,370650,,,
1654522618099,,109600,,,
1654522618117,,,,461734,
1654522618313,,571420,,,
1654522618733,,1220452,,,
1654522618756,,,969795,,
1654522618864,,,,1087576,
1654522618966,,1223944,,,
1654522618993,,,,866038,
1654522619005,,,1132064,,
1654522619039,,,612575,,
1654522619057,,,,589640,
1654522619058,,614923,,,
1654522619740,,1470609,,,
1654522619758,,,1435016,,
1654522619860,,,,1496440,
1654522619955,,1734088,,,
1654522619969,,,,1677642,
1654522619971,,,1699844,,
1654522620039,,,1079838,,
1654522620055,,863200,,,
1654522620057,,,,881818,
1654522620726,,1626789,,,
1654522620755,,,1599683,,
1654522620861,,,,1673748,
1654522620956,,1808008,,,
1654522620966,,,,1571466,
1654522620973,,,1687596,,
1654522621041,,,1019088,,
1654522621063,,808495,,,
1654522621064,,,,849275,
1654522621726,,1641105,,,
1654522621755,,,1607985,,
1654522621861,,,,1583503,
1654522621953,,1243823,,,
1654522621967,,,,1203641,
1654522621973,,,1221460,,
1654522622041,,,1798376,,
1654522622055,,1581245,,,
1654522622067,,,,1420500,
1654522622728,,1341453,,,
1654522622755,,,1365565,,
1654522622863,,,,1367396,
1654522622954,,1191637,,,
1654522622973,,,,933209,
1654522622979,,,1002549,,
1654522623040,,,744327,,
1654522623055,,810049,,,
1654522623059,,,,842000,
1654522623726,,1478286,,,
1654522623754,,,1483126,,
1654522623867,,,,1522946,
1654522623959,,1969939,,,
1654522623970,,,,2105786,
1654522623972,,,1914714,,
1654522624039,,,1312147,,
1654522624053,,1046648,,,
1654522624056,,,,1238000,
1654522624725,,1648345,,,
1654522624772,,,1572136,,
1654522624882,,,,1626796,
1654522624955,,1831308,,,
1654522624966,,,,2369821,
1654522624973,,,2144691,,
1654522625039,,,842727,,
1654522625055,,1242070,,,
1654522625066,,,,1011430,
1654522625728,,1609242,,,
1654522625757,,,1635410,,
1654522625869,,,,1699916,
1654522625952,,1938669,,,
1654522625972,,,1900190,1900388,
1654522626040,,,1454514,,
1654522626052,,1694710,,,
1654522626062,,,,1403855,
1654522626751,,2187432,,,
1654522626763,,,2177700,,
1654522626860,,,,2153354,
1654522626955,,1605573,,,
1654522626971,,,,1492072,
1654522626976,,,1584752,,
1654522627039,,,1560746,,
1654522627054,,1705797,,,
1654522627062,,,,1517044,
1654522627725,,1774032,,,
1654522627756,,,1737556,,
1654522627859,,,,1676650,
1654522627956,,962082,,,
1654522627969,,,,883500,
1654522627975,,,1039465,,
1654522628039,,,1037125,,
1654522628053,,1051326,,,
1654522628055,,,,918965,
1654522628726,,1479690,,,
1654522628757,,,1463789,,
1654522628862,,,,1439887,
1654522628953,,1372330,,,
1654522628968,,,,1600679,
1654522628971,,,1370544,,
1654522629039,,,961602,,
1654522629052,,988636,,,
1654522629055,,,,846862,
1654522629725,,1217775,,,
1654522629753,,,1222399,,
1654522629860,,,,1353736,
1654522629962,,2003134,,,
1654522629978,,,,1809644,
1654522629980,,,1954022,,
1654522630040,,,1171466,,
1654522630054,,1145793,,,
1654522630060,,,,1190341,
1654522630726,,1417872,,,
1654522630759,,,1459927,,
1654522630861,,,,1590375,
1654522630953,,1706748,,,
1654522630968,,,,662635,
1654522630969,,,1512633,,
1654522631038,,,235115,,
1654522631055,,,,228597,
1654522631056,,244617,,,
1654522631726,,1047915,,,
1654522631753,,,1019104,,
1654522631860,,,,906299,
1654522631953,,183466,,,
1654522631967,,,,367373,
1654522631970,,,202235,,
1654522632049,,,726012,,
1654522632055,,804529,,,
1654522632085,,,,695457,
1654522632729,,840508,,,
1654522632754,,,822121,,
1654522632861,,,,835529,
1654522632954,,1010294,,,
1654522632976,,,,1220278,
1654522632978,,,1044321,,
1654522633041,,,1539222,,
1654522633060,,1170682,,,
1654522633062,,,,1224244,
1654522633727,,1535225,,,
1654522633754,,,1516016,,
1654522633863,,,,1534411,
1654522633952,,1697115,,,
1654522633968,,,,1972323,
1654522633973,,,1682566,,
1654522634039,,,2499166,,
1654522634055,,2123757,,,
1654522634060,,,,2126890,
1654522634725,,1637893,,,
1654522634755,,,1648279,,
1654522634861,,,,1723107,
1654522634952,,2085074,,,
1654522634975,,,,1835526,
1654522634976,,,1988199,,
1654522635050,,,1512945,,
1654522635056,,1376951,,1442493,
