PING 10.130.0.226 (10.130.0.226) 56(84) bytes of data.
64 bytes from 10.130.0.226: icmp_seq=1 ttl=64 time=1.31 ms
64 bytes from 10.130.0.226: icmp_seq=2 ttl=64 time=0.552 ms
64 bytes from 10.130.0.226: icmp_seq=3 ttl=64 time=0.471 ms
64 bytes from 10.130.0.226: icmp_seq=4 ttl=64 time=0.521 ms
64 bytes from 10.130.0.226: icmp_seq=5 ttl=64 time=0.611 ms
64 bytes from 10.130.0.226: icmp_seq=6 ttl=64 time=0.441 ms
64 bytes from 10.130.0.226: icmp_seq=7 ttl=64 time=0.566 ms
64 bytes from 10.130.0.226: icmp_seq=8 ttl=64 time=0.518 ms
64 bytes from 10.130.0.226: icmp_seq=9 ttl=64 time=0.480 ms
64 bytes from 10.130.0.226: icmp_seq=10 ttl=64 time=0.359 ms
64 bytes from 10.130.0.226: icmp_seq=11 ttl=64 time=0.374 ms
64 bytes from 10.130.0.226: icmp_seq=12 ttl=64 time=0.469 ms
64 bytes from 10.130.0.226: icmp_seq=13 ttl=64 time=0.498 ms
64 bytes from 10.130.0.226: icmp_seq=14 ttl=64 time=0.523 ms
64 bytes from 10.130.0.226: icmp_seq=15 ttl=64 time=0.670 ms
64 bytes from 10.130.0.226: icmp_seq=16 ttl=64 time=0.589 ms
64 bytes from 10.130.0.226: icmp_seq=17 ttl=64 time=0.608 ms
64 bytes from 10.130.0.226: icmp_seq=18 ttl=64 time=0.511 ms
64 bytes from 10.130.0.226: icmp_seq=19 ttl=64 time=0.545 ms
64 bytes from 10.130.0.226: icmp_seq=20 ttl=64 time=0.551 ms
64 bytes from 10.130.0.226: icmp_seq=21 ttl=64 time=0.508 ms
64 bytes from 10.130.0.226: icmp_seq=22 ttl=64 time=0.472 ms
64 bytes from 10.130.0.226: icmp_seq=23 ttl=64 time=0.560 ms
64 bytes from 10.130.0.226: icmp_seq=24 ttl=64 time=0.498 ms
64 bytes from 10.130.0.226: icmp_seq=25 ttl=64 time=0.503 ms
64 bytes from 10.130.0.226: icmp_seq=26 ttl=64 time=0.384 ms
64 bytes from 10.130.0.226: icmp_seq=27 ttl=64 time=0.584 ms
64 bytes from 10.130.0.226: icmp_seq=28 ttl=64 time=0.464 ms
64 bytes from 10.130.0.226: icmp_seq=29 ttl=64 time=0.539 ms
64 bytes from 10.130.0.226: icmp_seq=30 ttl=64 time=0.414 ms
64 bytes from 10.130.0.226: icmp_seq=31 ttl=64 time=0.504 ms
64 bytes from 10.130.0.226: icmp_seq=32 ttl=64 time=0.567 ms
64 bytes from 10.130.0.226: icmp_seq=33 ttl=64 time=0.442 ms
64 bytes from 10.130.0.226: icmp_seq=34 ttl=64 time=0.542 ms
64 bytes from 10.130.0.226: icmp_seq=35 ttl=64 time=0.512 ms
64 bytes from 10.130.0.226: icmp_seq=36 ttl=64 time=0.509 ms
64 bytes from 10.130.0.226: icmp_seq=37 ttl=64 time=0.596 ms
64 bytes from 10.130.0.226: icmp_seq=38 ttl=64 time=0.529 ms
64 bytes from 10.130.0.226: icmp_seq=39 ttl=64 time=0.544 ms
64 bytes from 10.130.0.226: icmp_seq=40 ttl=64 time=0.646 ms
64 bytes from 10.130.0.226: icmp_seq=41 ttl=64 time=0.487 ms
64 bytes from 10.130.0.226: icmp_seq=42 ttl=64 time=11.5 ms
64 bytes from 10.130.0.226: icmp_seq=43 ttl=64 time=0.598 ms
64 bytes from 10.130.0.226: icmp_seq=44 ttl=64 time=0.533 ms
64 bytes from 10.130.0.226: icmp_seq=45 ttl=64 time=0.371 ms
64 bytes from 10.130.0.226: icmp_seq=46 ttl=64 time=0.490 ms
64 bytes from 10.130.0.226: icmp_seq=47 ttl=64 time=0.451 ms
64 bytes from 10.130.0.226: icmp_seq=48 ttl=64 time=0.509 ms
64 bytes from 10.130.0.226: icmp_seq=49 ttl=64 time=0.396 ms
64 bytes from 10.130.0.226: icmp_seq=50 ttl=64 time=0.539 ms
64 bytes from 10.130.0.226: icmp_seq=51 ttl=64 time=0.267 ms
64 bytes from 10.130.0.226: icmp_seq=52 ttl=64 time=0.557 ms
64 bytes from 10.130.0.226: icmp_seq=53 ttl=64 time=1.12 ms
64 bytes from 10.130.0.226: icmp_seq=54 ttl=64 time=0.410 ms
