Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654523564287,,,0,,
1654523564336,,,,0,
1654523564348,,0,,,
1654523564409,,,,7.259377864842889E-6,
1654523564439,,,,0,
1654523564441,,7.259376602862561E-6,,,
1654523564450,,,7.259376124180483E-6,,
1654523564463,,,,0.0,
1654523564470,,0,,,
1654523564497,,0.0,,,
1654523564508,,,0,,
1654523564526,,,0.0,,
1654523564561,,,,0,
1654523564565,,0,,,
1654523564572,,,0,,
1654523564577,,0.0,,,
1654523564582,,,0.0,,
1654523564596,0,,,,,
1654523564601,,,,0.0,
1654523564615,0,,,,
1654523564644,0.058570623061742315,,,,
1654523564667,0.0018474428528680899,,,,,
1654523565324,,,0.0,,
1654523565349,,,,0.0,
1654523565356,,0.0,,,
1654523565466,,,,0.0,
1654523565595,,0.0,,,
1654523565601,0.034261241970021415,,,,,
1654523565619,0.0,,,,
1654523565637,,0.0,,,
1654523565654,,,0.0,,
1654523565699,,,,0.0,
1654523565782,,,0.0,,
1654523566417,,0.0,0.0,,
1654523566504,,,,0.0,
1654523566528,,,,0.0,
1654523566600,0.0,,,,,
1654523566620,0.05688622754491018,,,,
1654523566787,,,0.0,,
1654523566975,,,,0.0,
1654523567161,,0.0,,,
1654523567236,,,0.0,,
1654523567467,,,0.0,,
1654523567508,,,,0.0,
1654523567525,,0.0,,,
1654523567550,,,,0.0,
1654523567605,0.0,,,,,
1654523567619,0.0,,,,
1654523567647,,0.0,,,
1654523567769,,,,0.0,
1654523567839,,,0.0,,
1654523567891,,0.0,,,
1654523567909,,,0.0,,
1654523567910,,0.0,,,
1654523568295,,,0.0,,
1654523568376,,,,0.0,
1654523568386,,0.0,,,
1654523568460,,,,0.0,
1654523568532,,0.0,,,
1654523568535,,,0.0,,
1654523568595,,,,0.0,
1654523568603,0.0,,,,,
1654523568605,,,0.0,,
1654523568617,0.0,,,,
1654523568717,,0.0,,,
1654523569302,,,0.0,,
1654523569348,,,,0.0,
1654523569363,,0.0,,,
1654523569447,,,,0.0,
1654523569479,,0.0,,,
1654523569523,,,0.0,,
1654523569572,,,,0.0,
1654523569575,,0.0,,,
1654523569581,,,0.0,,
1654523569598,0.0,,,,,
1654523569617,0.024,,,,
1654523570295,,,0.0,,
1654523570345,,,,0.0,
1654523570376,,0.0,,,
1654523570451,,,,0.0,
1654523570484,,0.0,,,
1654523570534,,,0.0,,
1654523570575,,,,0.0,
1654523570577,,0.0,,,
1654523570584,,,0.0,,
1654523570599,0.0,,,,,
1654523570616,0.0,,,,
1654523571294,,,0.0,,
1654523571346,,,,0.0,
1654523571356,,0.0,,,
1654523571447,,,,0.0,
1654523571479,,0.0,,,
1654523571516,,,0.0,,
1654523571573,,0.0,,0.0,
1654523571581,,,0.0,,
1654523571601,0.0,,,,,
1654523571618,0.0,,,,
1654523572295,,,0.0,,
1654523572357,,,,0.0,
1654523572361,,0.0,,,
1654523572448,,,,0.0,
1654523572478,,0.0,,,
1654523572517,,,0.0,,
1654523572575,,,,0.0,
1654523572576,,0.0,,,
1654523572579,,,0.0,,
1654523572603,0.0,,,,,
1654523572621,0.0,,,,
1654523573294,,,0.0,,
1654523573346,,,,0.0,
1654523573359,,0.0,,,
1654523573450,,,,0.0,
1654523573485,,0.0,,,
1654523573516,,,0.0,,
1654523573571,,,,0.0,
1654523573574,,0.0,,,
1654523573582,,,0.0,,
1654523573598,0.0,,,,,
1654523573616,0.0,,,,
1654523574297,,,0.0,,
1654523574345,,,,0.0,
1654523574357,,0.0,,,
1654523574447,,,,0.0,
1654523574479,,0.0,,,
1654523574516,,,0.0,,
1654523574570,,,,0.0,
1654523574574,,0.0,,,
1654523574580,,,0.0,,
1654523574602,0.0,,,,,
1654523574620,0.0,,,,
1654523575296,,,0.0,,
1654523575346,,,,0.0,
1654523575357,,0.0,,,
1654523575448,,,,0.0,
1654523575478,,0.0,,,
1654523575515,,,0.0,,
1654523575573,,,,0.0,
1654523575575,,0.0,,,
1654523575583,,,0.0,,
1654523575598,0.0,,,,,
1654523575617,0.0,,,,
1654523576295,,,0.0,,
1654523576348,,,,0.0,
1654523576356,,0.0,,,
1654523576449,,,,0.0,
1654523576479,,0.0,,,
1654523576519,,,0.0,,
1654523576569,,,,0.0,
1654523576574,,0.0,,,
1654523576581,,,0.0,,
1654523576598,0.0,,,,,
1654523576618,0.002997002997002997,,,,
1654523577294,,,0.025245441795231416,,
1654523577347,,,,0.02313624678663239,
1654523577357,,0.022988505747126436,,,
1654523577447,,,,0.0,
1654523577480,,0.0,,,
1654523577515,,,0.0,,
1654523577574,,,,0.0,
1654523577576,,0.0,,,
1654523577581,,,0.0,,
1654523577601,0.0,,,,,
1654523577616,0.0,,,,
1654523578294,,,0.0,,
1654523578345,,,,0.0,
1654523578356,,0.0,,,
1654523578449,,,,0.0,
1654523578478,,0.0,,,
1654523578516,,,0.0,,
1654523578571,,,,0.0,
1654523578573,,0.0,,,
1654523578579,,,0.0,,
1654523578598,0.0,,,,,
1654523578616,0.0,,,,
1654523579294,,,0.0,,
1654523579347,,,,0.0,
1654523579357,,0.0,,,
1654523579446,,,,0.0,
1654523579478,,0.0,,,
1654523579516,,,0.0,,
1654523579571,,,,0.0,
1654523579577,,0.0,,,
1654523579581,,,0.0,,
1654523579601,0.0,,,,,
1654523579620,0.0,,,,
1654523580296,,,0.0,,
1654523580345,,,,0.0,
1654523580356,,0.0,,,
1654523580447,,,,0.0,
1654523580478,,0.0,,,
1654523580515,,,0.0,,
1654523580571,,,,0.0,
1654523580573,,0.0,,,
1654523580581,,,0.0,,
1654523580604,0.0,,,,,
1654523580619,0.003003003003003003,,,,
1654523581296,,,0.0,,
1654523581343,,,,0.0,
1654523581356,,0.0,,,
1654523581448,,,,0.0,
1654523581481,,0.0,,,
1654523581518,,,0.0,,
1654523581570,,,,0.0,
1654523581572,,0.0,,,
1654523581579,,,0.0,,
1654523581602,0.0,,,,,
1654523581616,0.0,,,,
1654523582296,,,0.0,,
1654523582345,,,,0.0,
1654523582358,,0.0,,,
1654523582447,,,,0.0,
1654523582484,,0.0,,,
1654523582516,,,0.0,,
