Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654524406637,,,0,,
1654524406638,,,,0,
1654524406673,,0,,,
1654524406719,,149,,,
1654524406747,,0,,,
1654524406753,,,,149,
1654524406754,,,149,,
1654524406774,,,0,,
1654524406775,,,,0,
1654524406790,,,,150,
1654524406812,,150,,,
1654524406814,,,150,,
1654524406912,,,,0,
1654524406915,,,,151,
1654524406922,,0,,,
1654524406925,,151,,,
1654524406932,,,0,,
1654524406935,,,152,,
1654524406969,0,,,,,
1654524406990,58,,,,,
1654524406997,0,,,,
1654524407034,63,,,,
1654524407667,,,,152,
1654524407673,,,152,,
1654524407683,,152,,,
1654524407780,,153,,,
1654524407783,,,153,,
1654524407787,,,,153,
1654524407937,,,,153,
1654524407978,75,,,,,
1654524407993,,,153,,
1654524407994,,153,,,
1654524408005,75,,,,
1654524408648,,,,154,
1654524408723,,,154,,
1654524408746,,154,,,
1654524408786,,,,154,
1654524408825,,154,,,
1654524408935,,,155,,
1654524408940,,155,,,
1654524408978,75,,,,,
1654524409003,40,,,,
1654524409012,,,,155,
1654524409052,,,155,,
1654524409711,,156,,,
1654524409766,,,156,,
1654524409968,,,156,,
1654524409971,75,,,,,
1654524410033,,,,156,
1654524410051,,,,156,
1654524410052,,156,,,
1654524410062,,,,157,
1654524410104,50,,,,
1654524410160,,,157,,
1654524410315,,157,,,
1654524410690,,,158,,
1654524410781,,,158,,
1654524410871,,,,158,
1654524410902,,158,,,
1654524410935,,,159,,
1654524410963,,,,159,
1654524410971,75,,,,,
1654524410994,,159,,,
1654524410999,66,,,,
1654524411028,,,,159,
1654524411114,,159,,,
1654524411644,,,,160,
1654524411651,,,161,,
1654524411679,,161,,,
1654524411754,,161,,,
1654524411786,,,161,,
1654524411788,,,,161,
1654524411918,,,,162,
1654524411925,,162,,,
1654524411935,,,162,,
1654524411977,75,,,,,
1654524411999,72,,,,
1654524412641,,,164,,
1654524412642,,,,164,
1654524412677,,164,,,
1654524412751,,165,,,
1654524412778,,,,165,
1654524412779,,,165,,
1654524412915,,,,165,
1654524412927,,165,,,
1654524412935,,,165,,
1654524412970,75,,,,,
1654524412998,79,,,,
1654524413640,,,167,,
1654524413643,,,,167,
1654524413677,,167,,,
1654524413750,,168,,,
1654524413779,,,168,,
1654524413780,,,,168,
1654524413917,,,,168,
1654524413925,,168,,,
1654524413936,,,169,,
1654524413970,75,,,,,
1654524413998,20,,,,
1654524414645,,,,170,
1654524414647,,,170,,
1654524414690,,170,,,
1654524414750,,113,,,
1654524414777,,,114,,
1654524414778,,,,114,
1654524414916,,,,114,
1654524414926,,114,,,
1654524414935,,,115,,
1654524414971,76,,,,,
1654524414998,28,,,,
1654524415639,,,116,,
1654524415641,,,,116,
1654524415677,,116,,,
1654524415750,,117,,,
1654524415778,,,117,117,
1654524415915,,,,117,
1654524415925,,118,,,
1654524415935,,,118,,
1654524415972,76,,,,,
1654524415997,36,,,,
1654524416640,,,119,,
1654524416641,,,,119,
1654524416677,,120,,,
1654524416751,,120,,,
1654524416779,,,,121,
1654524416781,,,121,,
1654524416918,,,,121,
1654524416925,,121,,,
1654524416935,,,122,,
1654524416972,76,,,,,
1654524416997,47,,,,
1654524417642,,,,123,
1654524417643,,,123,,
1654524417676,,123,,,
1654524417750,,124,,,
1654524417779,,,124,124,
1654524417916,,,,125,
1654524417925,,125,,,
1654524417935,,,125,,
1654524417970,76,,,,,
1654524417997,54,,,,
1654524418640,,,126,,
1654524418642,,,,126,
1654524418680,,127,,,
1654524418761,,127,,,
1654524418779,,,127,,
1654524418781,,,,127,
1654524418920,,,,128,
1654524418928,,128,,,
1654524418935,,,128,,
1654524418970,76,,,,,
1654524419002,61,,,,
1654524419640,,,130,,
1654524419641,,,,130,
1654524419676,,130,,,
1654524419749,,131,,,
1654524419778,,,131,131,
1654524419917,,,,132,
1654524419926,,132,,,
1654524419935,,,132,,
1654524419970,76,,,,,
1654524419997,73,,,,
1654524420640,,,134,,
1654524420641,,,,134,
1654524420676,,134,,,
1654524420756,,135,,,
1654524420777,,,135,,
1654524420778,,,,135,
1654524420914,,,,136,
1654524420926,,136,,,
1654524420935,,,136,,
1654524420970,76,,,,,
1654524420997,16,,,,
1654524421639,,,138,,
1654524421641,,,,138,
1654524421677,,138,,,
1654524421751,,138,,,
1654524421780,,,139,139,
1654524421917,,,,139,
1654524421924,,139,,,
1654524421935,,,139,,
1654524421977,76,,,,,
1654524422000,25,,,,
1654524422641,,,141,141,
1654524422676,,142,,,
1654524422751,,142,,,
1654524422777,,,142,,
1654524422778,,,,142,
1654524422915,,,,143,
1654524422926,,143,,,
1654524422935,,,143,,
1654524422970,76,,,,,
1654524422997,34,,,,
1654524423639,,,145,,
1654524423641,,,,145,
1654524423676,,145,,,
1654524423750,,146,,,
1654524423777,,,146,,
1654524423778,,,,146,
1654524423915,,,,146,
1654524423925,,147,,,
1654524423935,,,147,,
1654524423971,76,,,,,
1654524423997,45,,,,
1654524424640,,,148,,
1654524424641,,,,148,
1654524424676,,148,,,
1654524424751,,149,,,
1654524424779,,,149,149,
1654524424917,,,,150,
1654524424926,,150,,,
1654524424947,,,150,,
1654524424970,76,,,,,
1654524424998,53,,,,
1654524425641,,,,152,
1654524425642,,,152,,
1654524425676,,152,,,
1654524425750,,152,,,
1654524425779,,,152,152,
1654524425915,,,,153,
1654524425925,,153,,,
1654524425935,,,153,,
1654524425972,77,,,,,
1654524425997,63,,,,
1654524426639,,,156,,
1654524426641,,,,156,
1654524426677,,156,,,
1654524426750,,157,,,
1654524426778,,,157,,
1654524426779,,,,157,
1654524426917,,,,158,
1654524426927,,158,,,
1654524426935,,,158,,
1654524426971,77,,,,,
1654524426997,76,,,,
1654524427640,,,159,159,
1654524427681,,160,,,
1654524427750,,160,,,
1654524427777,,,160,,
1654524427778,,,,160,
1654524427914,,,,161,
1654524427925,,161,,,
1654524427935,,,161,,
1654524427970,77,,,,,
1654524427998,21,,,,
1654524428639,,,163,,
1654524428641,,,,163,
1654524428676,,163,,,
1654524428750,,163,,,
1654524428777,,,163,,
1654524428778,,,,163,
1654524428914,,,,164,
1654524428926,,164,,,
1654524428937,,,164,,
1654524428970,77,,,,,
1654524428997,29,,,,
1654524429657,,,,122,
1654524429658,,,122,,
1654524429676,,122,,,
1654524429749,,122,,,
1654524429777,,,122,,
1654524429778,,,,122,
1654524429914,,,,123,
1654524429925,,123,,,
1654524429935,,,123,,
1654524429972,77,,,,,
1654524429998,41,,,,
1654524430640,,,,125,
1654524430641,,,125,,
1654524430676,,126,,,
1654524430750,,126,,,
1654524430777,,,126,,
1654524430778,,,,126,
1654524430915,,,,127,
1654524430925,,127,,,
1654524430935,,,127,,
1654524430969,77,,,,,
1654524430998,53,,,,
1654524431218,0,,,,
1654524431221,,,,0,
1654524431222,,,0,,
1654524431223,,0,,,
1654524431227,0,
