Timestamp,Worker 0,Worker 1,Worker 2,Worker 3,
1654524745007,,0,,,
1654524745064,,208,,,
1654524745086,,,0,,
1654524745110,,,,0,
1654524745160,,,,208,
1654524745166,,,208,,
1654524745194,,0,,,
1654524745210,,210,,,
1654524745219,,,,0,
1654524745226,,,0,,
1654524745231,,,210,,
1654524745313,,0,,,
1654524745318,,,0,,
1654524745324,,211,,,
1654524745332,,,,211,
1654524745342,,,210,,
1654524745380,,,,0,
1654524745389,,,,210,
1654524745391,0,,,,,
1654524745410,0,,,,
1654524745426,76,,,,,
1654524745447,262,,,,
1654524746119,,210,,,
1654524746128,,,210,,
1654524746218,,,,210,
1654524746249,,,,210,
1654524746285,,,210,,
1654524746332,,210,,,
1654524746399,76,,,,,
1654524746467,262,,,,
1654524746532,,,210,,
1654524746618,,210,,,
1654524746925,,,,210,
1654524747337,,,210,,
1654524747371,,,,210,
1654524747403,76,,,,,
1654524747418,262,,,,
1654524747619,,,211,,
1654524747681,,211,,,
1654524747722,,,,211,
1654524747803,,,211,,
1654524747841,,211,,,
1654524747865,,211,,,
1654524748028,,,,211,
1654524748395,76,,,,,
1654524748413,262,,,,
1654524748415,,,,211,
1654524748447,,,,211,
1654524748579,,,,211,
1654524748684,,211,,,
1654524748706,,,211,,
1654524748709,,211,,,
1654524748779,,,211,,
1654524748924,,211,,,
1654524748932,,,211,,
1654524749180,,,211,,
1654524749209,,211,,,
1654524749292,,211,,,
1654524749360,,211,,,
1654524749396,76,,,,,
1654524749412,266,,,,
1654524749513,,,,211,
1654524749529,,,,211,
1654524749542,,,211,,
1654524749582,,,211,,
1654524749611,,,,211,
1654524750043,,211,,,
1654524750092,,,211,,
1654524750118,,,,211,
1654524750199,,211,,,
1654524750224,,,,211,
1654524750230,,,211,,
1654524750319,,211,,,
1654524750323,,,211,,
1654524750387,,,,211,
1654524750394,76,,,,,
1654524750412,266,,,,
1654524751014,,211,,,
1654524751094,,,211,,
1654524751121,,,,211,
1654524751199,,211,,,
1654524751224,,,,211,
1654524751230,,,211,,
1654524751319,,211,,,
1654524751323,,,211,,
1654524751385,,,,211,
1654524751394,76,,,,,
1654524751411,266,,,,
1654524752012,,211,,,
1654524752091,,,211,,
1654524752116,,,,211,
1654524752199,,211,,,
1654524752225,,,,211,
1654524752230,,,211,,
1654524752318,,211,,,
1654524752322,,,211,,
1654524752386,,,,211,
1654524752397,76,,,,,
1654524752413,266,,,,
1654524753013,,211,,,
1654524753091,,,211,,
1654524753119,,,,211,
1654524753198,,211,,,
1654524753225,,,,211,
1654524753230,,,211,,
1654524753317,,211,,,
1654524753323,,,211,,
1654524753385,,,,211,
1654524753394,76,,,,,
1654524753414,266,,,,
1654524754010,,211,,,
1654524754097,,,211,,
1654524754117,,,,211,
1654524754199,,211,,,
1654524754225,,,,211,
1654524754230,,,211,,
1654524754320,,211,,,
1654524754325,,,211,,
1654524754385,,,,211,
1654524754393,76,,,,,
1654524754412,266,,,,
1654524755017,,211,,,
1654524755090,,,211,,
1654524755118,,,,211,
1654524755198,,211,,,
1654524755225,,,,211,
1654524755231,,,211,,
1654524755318,,211,,,
1654524755322,,,211,,
1654524755386,,,,211,
1654524755393,76,,,,,
1654524755413,266,,,,
1654524756011,,211,,,
1654524756091,,,211,,
1654524756116,,,,211,
1654524756201,,211,,,
1654524756229,,,,211,
1654524756231,,,211,,
1654524756319,,211,,,
1654524756323,,,211,,
1654524756386,,,,211,
1654524756393,76,,,,,
1654524756411,266,,,,
1654524757014,,211,,,
1654524757091,,,211,,
1654524757118,,,,211,
1654524757202,,211,,,
1654524757224,,,,211,
1654524757231,,,211,,
1654524757318,,211,,,
1654524757322,,,211,,
1654524757385,,,,211,
1654524757395,76,,,,,
1654524757416,266,,,,
1654524758015,,211,,,
1654524758092,,,211,,
1654524758117,,,,211,
1654524758198,,211,,,
1654524758223,,,,211,
1654524758231,,,211,,
1654524758317,,211,,,
1654524758322,,,211,,
1654524758386,,,,211,
1654524758393,76,,,,,
1654524758411,266,,,,
1654524759013,,211,,,
1654524759090,,,211,,
1654524759118,,,,211,
1654524759199,,211,,,
1654524759224,,,,211,
1654524759231,,,211,,
1654524759321,,211,211,,
1654524759385,,,,211,
1654524759393,76,,,,,
1654524759411,266,,,,
1654524760012,,211,,,
1654524760090,,,211,,
1654524760115,,,,211,
1654524760203,,211,,,
1654524760224,,,,211,
1654524760232,,,211,,
1654524760319,,211,,,
1654524760323,,,211,,
1654524760387,,,,211,
1654524760395,76,,,,,
1654524760415,266,,,,
1654524761012,,211,,,
1654524761090,,,211,,
1654524761116,,,,211,
1654524761200,,211,,,
1654524761224,,,,211,
1654524761230,,,211,,
1654524761318,,211,,,
1654524761322,,,211,,
1654524761386,,,,211,
1654524761393,76,,,,,
1654524761411,266,,,,
1654524762011,,211,,,
1654524762095,,,211,,
1654524762118,,,,211,
1654524762198,,211,,,
1654524762223,,,,211,
1654524762233,,,211,,
1654524762318,,211,,,
1654524762322,,,211,,
1654524762387,,,,211,
1654524762393,76,,,,,
1654524762411,266,,,,
1654524763012,,211,,,
1654524763092,,,211,,
1654524763116,,,,211,
1654524763199,,211,,,
1654524763225,,,,211,
1654524763231,,,211,,
1654524763317,,211,,,
1654524763324,,,211,,
1654524763386,,,,211,
1654524763397,76,,,,,
1654524763415,266,,,,
1654524764011,,211,,,
1654524764090,,,211,,
1654524764116,,,,211,
1654524764199,,211,,,
1654524764223,,,,211,
1654524764229,,,211,,
1654524764317,,211,,,
1654524764324,,,211,,
1654524764385,,,,211,
1654524764394,76,,,,,
1654524764411,266,,,,
1654524765012,,211,,,
1654524765090,,,211,,
1654524765116,,,,211,
1654524765199,,211,,,
1654524765225,,,,211,
1654524765232,,,211,,
1654524765318,,211,,,
1654524765322,,,211,,
1654524765386,,,,211,
1654524765393,76,,,,,
1654524765411,266,,,,
1654524766030,,211,,,
1654524766090,,,211,,
1654524766116,,,,211,
1654524766198,,211,,,
1654524766224,,,,211,
1654524766230,,,211,,
1654524766318,,211,,,
1654524766322,,,211,,
1654524766386,,,,211,
1654524766392,76,,,,,
1654524766412,266,,,,
1654524767012,,211,,,
1654524767090,,,211,,
1654524767117,,,,211,
1654524767202,,211,,,
1654524767224,,,,211,
1654524767230,,,211,,
1654524767319,,211,,,
1654524767325,,,211,,
1654524767385,,,,211,
1654524767394,76,,,,,
1654524767412,266,,,,
1654524768013,,211,,,
1654524768090,,,211,,
1654524768116,,,,211,
1654524768198,,211,,,
1654524768225,,,,211,
1654524768230,,,211,,
1654524768319,,211,,,
1654524768321,,,211,,
1654524768386,,,,211,
1654524768393,76,,,,,
1654524768411,266,,,,
1654524768897,0,,,,
1654524768903,,0,0,0,
1654524768906,0,
